HER (-3.2770934894820054, 'share')
HER (-1.5000875599811594, 'common')
HER (-1.4950400732041824, 'states')
HER (-1.4847958193999711, 'promise')
HER (-1.484491531811158, 'philadelphia')
HER (-1.4807264313892361, 'marijuana')
HER (-1.4797107100996674, 'hearing')
HER (-1.4764895252271855, 'canberra')
HER (-1.4756257723832149, 'scottish')
HER (-1.4717186141155949, 'prayers')
HER (-1.470470460490837, 'herald')
HER (-1.4632142051951598, 'christmas')
HER (-1.4556213490505154, 'granddaughter')
HER (-1.4496077130350795, 'nicola')
HER (-1.4434184406044093, 'defundplannedparenthood')
HER (-1.4428897529842828, 'ji')
HER (-1.440411614905196, 'shri')
HER (-1.439805135235819, 'leaders')
HER (-1.4393055896478981, 'mother')
LER (3.165594791654355, '2012')
LER (2.6780681732090517, 'endorsement')
LER (2.6297027729575548, 'manly')
LER (2.5509430051819497, 'boris')
LER (2.5435491075850249, 'ed')
LER (2.5002310072802234, 'bernie')
LER (2.4611353468313193, 'youth')
LER (2.2587925094509367, 'vermont')
LER (2.240252199185766, 'radio')
LER (2.2148839235261786, 'celebapprentice')
LER (2.2098043469962643, 'gaza')
LER (2.2039514676982614, 'justin')
LER (2.1958494856166326, '2011')
LER (2.0990934567885966, 'interview')
LER (2.0856981569880455, 'islington')
LER (2.0177947387595658, 'stimulus')
LER (2.0115855950069919, 'mccain')
LER (1.9867095137568687, 'rand')
LER (1.9546643956293925, '2010')
LER (1.922361808658231, 'london')
LER (1.9149234638274135, 'pres')
LER (1.8785709388999694, 'check')
LER (1.8524711125035525, 'conversation')
LER (1.8523331092260567, 'pour')
LER (1.8512015384477778, 'ottawa')
LER (1.8463398767430106, 'americano')
LER (1.837927232489643, 'council')
LER (1.836800314576829, 'link')
LER (1.783471758054163, 'people country')
LER (1.7713123572610294, 'fundraising')
LER (1.7642312240856346, 'rsvp')
LER (1.7575340985969836, 'congressman')
LER (1.741077044107342, 'africa')
LER (1.7280566377852542, 'video')
LER (1.7241610804086749, 'website')
LER (1.705954091819798, 'icymi')
LER (1.6986781882408544, 'believe america')
LER (1.6879665235755983, 'leadright2016')
LER (1.6774829488412508, 'suggestions')
LER (1.6751621900307667, 'register')
LER (1.6573525633470669, 'mike team')
LER (1.6367902814841957, 'ny')
LER (1.6337305992009941, 'chairman')
LER (1.6324978684935387, 'pres obama')
LER (1.6205096432021036, 'marco')
LER (1.6036701771654278, 'presidents')
LER (1.5529399505118777, 'opinion')
LER (1.5439909953479014, 'feedback')
LER (1.5152143226429056, 'conference')
LER (1.5080446854845615, 'cuomo')
LER (1.5035411398748637, 'harper')
LER (1.5027317365048063, 'recession')
LER (1.4922075884695698, 'discuss')
LER (1.4844235646814086, 'click')
LER (1.4825596496338871, 'monday')
LER (1.4819073100192746, 'survey')
LER (1.4786473896420345, 'follow')
LER (1.4761613021915583, 'senator obama')
LER (1.4731329805780338, 'morning star')
LER (1.4478776709411971, 'crew')
LER (1.444929133551059, 'asktony')
LER (1.4330323381068917, 'column')
LER (1.4235578536292997, 'stand rand')
LER (1.4222720887010456, 'papineau')
LER (1.4096918253923669, 'shop')
LER (1.4081306370308782, 'unemployment')
LER (1.3855023790518997, 'deadline')
LER (1.3809965015218177, 'discusses')
LER (1.3806841940067618, 'saturday')
LER (1.3634368875012515, 'enter')
LER (1.3595396433730556, 'visit')
LER (1.3573806595005251, 'apprentice')
LER (1.3567850796455789, 'available')
LER (1.3465944773299161, 'car')
LER (1.3425938459951332, 'details')
LER (1.3412874924168425, 'daughters')
LER (1.3407542633544456, 'midnight')
LER (1.3391014151836116, 'rally')
LER (1.3341037286792976, 'share stand rand')
LER (1.3313815002270843, 'passover')
LER (1.3260707899448507, 'click like think')
LER (1.3121911816026932, 'community')
LER (1.3093271586087181, 'download')
LER (1.3068885619775865, 'vote poster')
LER (1.3059395097245825, 'later today')
LER (1.3026712790456079, 'join')
LER (1.3014686070992221, 'delegation')
LER (1.3009386747578311, 'meeting')
LER (1.29911399150764, 'key')
LER (1.2880802306972872, 'share thoughts')
LER (1.2858846905976116, 'democrats')
LER (1.2833179787503763, 'boehner')
LER (1.280504488262781, 'progressive')
LER (1.2790877698506333, 'wealthy')
LER (1.2787524515613067, 'article')
LER (1.2569531908245231, 'studies')
LER (1.2539721434406379, 'oil')
LER (1.2533192592670308, 'social')
LER (1.2515496637862948, 'budget amendment')
LER (1.2515496637862948, 'balanced budget amendment')
