HER (-6.8543290603806204, 'type_photo')
HER (-1.4038764664085843, 'certain_yes')
HER (-1.4003504640362889, 'corbett')
HER (-1.3904721124529322, 'trump2016')
HER (-1.3890035986874374, 'reality')
HER (-1.3870573393159871, 'announced')
HER (-1.3775276439776418, 'prepare')
HER (-1.3659284490520385, 'administration')
HER (-1.358818849601072, 'wisconsin')
HER (-1.356089705060882, 'risk_yes')
HER (-1.3541109461504917, 'constitution')
HER (-1.3465389243080941, 'army')
HER (-1.3415484640125956, 'media')
HER (-1.3391916585377688, 'pennsylvania')
HER (-1.33867062349454, 'said')
HER (-1.3331817393580374, 'years')
HER (-1.3299239669877529, 'thankful')
HER (-1.329656230132733, 'muslims')
HER (-1.326670718905637, 'france')
HER (-1.3255040511387397, 'marr')
HER (-1.3237605031900688, 'philadelphia')
HER (-1.3120136764081527, 'affiliation_yes')
HER (-1.3047547693808352, 'amazing')
LER (7.84756162565371, 'type_link')
LER (5.545433393112007, 'rand')
LER (3.6364999612729765, '2012')
LER (3.0920309373745583, 'wealthiest')
LER (2.7823271415380817, '2011')
LER (2.7085952441465611, 'type_status')
LER (2.5216807532741825, 'boris')
LER (2.4467051902115577, 'bernie')
LER (2.3585553530775156, 'marco')
LER (2.3433921671682452, 'islington')
LER (2.3325450242048791, 'london')
LER (2.2416280837756166, 'leadright2016')
LER (2.2108609066430565, 'barack')
LER (2.1460843833189349, 'cpac2016')
LER (2.1277560867864156, 'corporations')
LER (2.1244314437384837, 'hall')
LER (2.1223501273299155, 'vermont')
LER (2.121290675564468, 'celebapprentice')
LER (2.0888887535704876, 'poster')
LER (2.0838955865373339, 'youth')
LER (2.0827711631465937, 'souza')
LER (2.0806396708679884, 'netspeak_yes')
LER (2.065023403616002, '2010')
LER (2.0283315518383938, 'gaza')
LER (1.9695370799713017, 'huckabeejourney')
LER (1.9202976378839751, 'registration')
LER (1.9075533657366825, 'stimulus')
LER (1.9061984547356361, 'supporters')
LER (1.9041029549292847, 'manly')
LER (1.8816059673044261, 'reduction')
LER (1.8675249439633401, 'rsvp')
LER (1.8410882848553196, 'justin')
LER (1.7896411235437952, 'type_event')
LER (1.7567046460087605, 'nh')
LER (1.7483479420976697, 'click')
LER (1.7469653184328016, '2008')
LER (1.7115703765016905, 'discuss')
LER (1.7112871618030168, 'tough')
LER (1.7082420713708022, 'ed')
LER (1.6888932001555566, 'is_analytic_yes')
LER (1.6833956078617518, 'hampshire')
LER (1.6525468589511398, 'programs')
LER (1.6521419973776197, 'endorsement')
LER (1.6132307235514778, 'white')
LER (1.5643137526101119, 'register')
LER (1.5637682172826755, 'pete')
LER (1.5499246750004394, 'papineau')
LER (1.5467082300861503, 'mike')
LER (1.5324514020161841, 'pres')
LER (1.5070799809534221, 'count')
LER (1.4933867522760653, 'official')
LER (1.4852332197264577, 'dems')
LER (1.4838786956949275, 'wednesday')
LER (1.4800410747822808, '2009')
LER (1.4765175485707687, 'website')
LER (1.4761526309074595, 'high_wps')
LER (1.4705679194058534, 'harper')
LER (1.4547311835316987, 'mccain')
LER (1.4463653119419972, 'ohio')
LER (1.4450064398247908, 'interview')
LER (1.4364870026445629, 'conversation')
LER (1.4333282509547141, 'forum')
LER (1.4302495564988364, 'visit')
LER (1.4255093179517164, 'campaigning')
LER (1.4246310383136602, 'auto')
LER (1.4076238817741817, 'vp')
LER (1.4055352377253387, 'organizer')
LER (1.397921013120305, 'august')
LER (1.3965936680324476, 'africa')
LER (1.395474282034606, 'think')
LER (1.3951089099866176, 'submit')
LER (1.3939700337371055, 'james')
LER (1.3858120940314396, 'radio')
LER (1.3849197610734607, 'key')
LER (1.3588336156242007, 'pollingplaces')
LER (1.3581083608168463, 'location')
LER (1.3573496568866532, 'texas')
LER (1.356373535968324, 'restaurant')
LER (1.3562493005014131, 'pour')
LER (1.3541837325372463, 'has_qmark')
LER (1.3491876749700151, 'thought')
LER (1.3433717395791274, 'rising')
LER (1.3195974455851132, 'cap')
LER (1.3150431905803068, 'meeting')
LER (1.3119528769447895, 'delegation')
LER (1.3109487453504607, 'park')
LER (1.3078534731202089, 'column')
LER (1.2827493382746276, 'parnell')
LER (1.2785201918623563, 'fox')
LER (1.277929499940156, 'book')
LER (1.2760948457429264, 'boehner')
LER (1.2729588595562382, 'rallies')
LER (1.2686910397288307, 'community')
LER (1.2679002514009985, 'obamacosts')
LER (1.2679002514009985, 'obamacarecosts')
LER (1.2636742040434437, 'progressive')
LER (1.2635356335865331, 'letters')
LER (1.2627094001750101, 'fundraising')
LER (1.2534196232634689, 'volunteers')
LER (1.2522706574598224, 'feedback')
