HER (-8.3209329411467081, 'newt')
HER (-1.5224811083850966, 'is_clout_yes affiliation_yes reward_yes')
HER (-1.5186390918157759, 'americans')
HER (-1.5142822506889639, 'easter')
HER (-1.513892115534732, 'boston')
HER (-1.4950913796061935, 'court')
HER (-1.4889760142600097, 'result')
HER (-1.484724626553976, 'girls')
HER (-1.4687684462569088, 'percent')
HER (-1.4627910641860082, 'type_link has_url hillary')
HER (-1.4584110124960052, 'air')
HER (-1.4561158195201547, 'wow')
HER (-1.4518927236224657, 'low_wps type_link labour')
HER (-1.4339230571108015, 'dublin')
HER (-1.433405747053303, 'labor')
HER (-1.4319444073369787, 'tribute')
HER (-1.4198296190597883, 'student')
HER (-1.4154218914929699, 'democratic')
HER (-1.4147465300692303, 'chch')
HER (-1.4138948348622675, 'medal')
HER (-1.3941318194688004, 'cause_yes discrep_yes certain_yes')
HER (-1.3741914113572462, 'ma')
HER (-1.373886445397146, 'defund')
HER (-1.3656638994967196, 'finally')
HER (-1.3656336046952802, 'tell')
HER (-1.3552468730142428, 'history')
HER (-1.3544884963341282, 'february')
HER (-1.3384190562447911, 'has_hashtag')
HER (-1.3363913427986602, 'women')
HER (-1.3335891705987284, 'crime')
HER (-1.3242521758753616, 'children')
HER (-1.3237364182569862, 'few_sixltr type_video has_url')
HER (-1.3216567201599898, 'is_analytic_no is_clout_no is_authentic_no')
HER (-1.3175423188356583, 'is_analytic_no')
HER (-1.3173080966713322, 'mental')
HER (-1.314803635867082, 'died')
HER (-1.3085450935223348, 'differ_yes affiliation_yes power_yes')
HER (-1.3026072133916373, 'irish')
HER (-1.3010484366984145, 'democracy')
HER (-1.2996415117548534, 'illegal')
HER (-1.2995548480109047, 'abbott')
HER (-1.2958136367213668, 'has_qmark type_photo')
HER (-1.292091246366379, 'welcome')
HER (-1.2834409356874186, 'high_wps has_qmark type_link')
HER (-1.2831478361551572, 'announced')
HER (-1.2784822637402387, 'low_wps type_link new')
HER (-1.2754169328459235, 'bernie sanders')
HER (-1.2728644740494874, 'revolution')
HER (-1.2657099183958394, 'reward_yes nonflu_yes few_sixltr')
HER (-1.2649082122426583, 'netspeak_yes many_sixltr high_wps')
HER (-1.2620733948286578, 'power_yes has_exclam type_photo')
HER (-1.260497831843959, 'colbert')
HER (-1.2596147447370869, 'is_analytic_no is_authentic_no netspeak_yes')
HER (-1.2590249881533409, 'right')
LER (3.1568892581606165, 'biden')
LER (2.8887128848567563, 'leadright2016')
LER (2.8480745166011801, 'type_link')
LER (2.7165977599638693, 'kempforum16')
LER (2.6524222219419458, 'democrats')
LER (2.5716815186931115, 'gopdebate')
LER (2.5647871140828071, 'vp')
LER (2.5485060732280234, 'click')
LER (2.5169207897354839, 'indyref')
LER (2.3763684116107817, 'rand')
LER (2.3701771434839434, 'marco')
LER (2.367198004566494, 'com')
LER (2.2961182059985288, 'has_exclam type_link')
LER (2.2564600256272693, 'obama')
LER (2.2400920209284121, 'ed')
LER (2.2352764168954495, 'click like')
LER (2.2226413027746101, 'mccain')
LER (2.2144984350478256, 'org')
LER (2.0997231718439853, 'governor')
LER (2.0308659435449155, 'maryland')
LER (2.0298427125250571, '2012')
LER (1.9790601761208848, 'nevada')
LER (1.9562007890625468, 'justin')
LER (1.9443212742769043, 'gop')
LER (1.9333422625219139, 'pour')
LER (1.875971879829812, 'stimulus')
LER (1.8646516905074446, 'thanks')
LER (1.8372884862030505, 'cuomo')
LER (1.8162956025538084, 'fellow')
LER (1.8125952424255829, 'vice president')
LER (1.7853889247303829, 'washington')
LER (1.77398067454992, 'type_status happy')
LER (1.7709196861183341, 'poster')
LER (1.7615585061442691, 'texas')
LER (1.7218733911887432, 'vote')
LER (1.7129002658379284, 'type_link has_hashtag has_url')
LER (1.7108704441364397, 'event')
LER (1.6974198386544315, 'fairtax')
LER (1.6641872254815877, 'state')
LER (1.6506639000756191, 'netspeak_yes')
LER (1.6499195328323639, 'nh')
LER (1.6204121198522186, 'ohio')
LER (1.6145489068385379, 'papineau')
LER (1.6094603112497201, 'details')
LER (1.6032018567907478, 'florida')
LER (1.6007449583478854, 'asktony')
LER (1.5979736470873154, 'pres obama')
LER (1.5905143604292558, 'cpac2016')
LER (1.5899269619175553, 'has_hashtag has_url')
LER (1.5729374918832948, 'fits')
LER (1.5716852432095656, 'vote poster')
LER (1.568500148735678, 'tpa')
LER (1.5675124912713281, 'share stand rand')
LER (1.5664206933058238, 'iowa')
LER (1.5616717783309821, 'differ_yes affiliation_yes few_sixltr')
LER (1.5585230317697847, 'low_wps type_link has_url')
LER (1.5469934792535951, 'michigan')
LER (1.5381022070173753, 'liberal')
LER (1.5310263333656571, 'high_wps has_qmark type_status')
LER (1.5208013779630536, 'house')
LER (1.5183649796044427, 'type_status has_url')
LER (1.5144050539025589, 'des')
LER (1.5108727049446438, 'complete')
LER (1.508362151023791, 'volunteers')
LER (1.503488637054033, 'ottawa')
LER (1.4982452691477643, 'register')
LER (1.4912851503608597, 'type_link texas')
LER (1.4772861321781259, 'stand rand')
LER (1.4759159845728882, 'coalition')
LER (1.4734083844593997, 'exclusive')
LER (1.4712848366535392, 'nrcc')
LER (1.4654708217289927, 'has_exclam type_photo has_url')
LER (1.4597730087415375, 'is_analytic_yes few_sixltr low_wps')
LER (1.4597730087415375, 'is_analytic_yes few_sixltr')
LER (1.4554509778609033, 'is_clout_yes is_authentic_no power_yes')
LER (1.4520466082820849, 'le')
LER (1.4411155235979354, 'perry')
LER (1.4191815694122536, 'gifts')
LER (1.4159792348711679, 'takeover')
LER (1.4113929128875418, 'click like think')
LER (1.4043246720973932, 'white')
LER (1.3980011757370168, 'donate')
LER (1.3893285877707449, 'share stand')
LER (1.3870339809527394, 'survey')
LER (1.3842632386855673, 'type_status wishing')
LER (1.3799424973628758, 'power_yes risk_yes many_sixltr')
LER (1.3741848072105454, 'tickets')
LER (1.3579983595998375, 'facebook')
LER (1.3553435876114794, 'check')
LER (1.3522918482670399, 'ca')
LER (1.3513298241682352, 'photo')
LER (1.3512453019028619, 'type_photo marco')
LER (1.3424640828769157, 'netspeak_yes low_wps')
LER (1.341277095482911, 'like think')
LER (1.340828026661625, 'live')
LER (1.3378612909997716, 'fan')
LER (1.3311928620857865, 'has_exclam type_status has_hashtag')
LER (1.3299725467439645, 'et')
LER (1.3264011648005469, 'huckabee')
LER (1.322054620039981, 'team')
