Source (A)	Source (B)	Source (C)	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	affect	posemo	negemo	anx	anger	sad	cogproc	insight	cause	discrep	tentat	certain	differ	see	hear	feel	drives	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
The all-new BMW 7 Series with the BMW EfficientDynamics technology eDrive yields the highest quality driving experience thanks to the BMW TwinPower Turbo engine coupled with the efficiency of an electric motor. With minimum fuel consumption figures and full dynamic characteristics in eDrive  at a full stop you're still #drivingluxury.  To find out more about BMW eDrive  click here: http://bit.ly/1YkifRg  _____  Fuel consumption and CO2 emissions for the BMW 740Le: Fuel consumption in l/100 km (combined): 2.1 CO2 emissions in g/km (combined): 49  Further information about the official fuel consumption and the official specific CO2 emissions for new passenger automobiles can be found in the 'New Passenger Vehicle Fuel Consumption and CO2 Emission Guidelines'  which are available free of charge at all sales outlets and from DAT Deutsche Automobil Treuhand GmbH  Hellmuth-Hirth-Str. 1  73760 Ostfildern  Germany and on http://www.dat.de/angebote/verlagsprodukte/leitfaden-kraftstoffverbrauch.html	HER	photo	158	98.33	55.02	16.64	25.77	39.50	31.01	2.53	1.27	1.27	0.00	0.00	0.00	4.43	2.53	0.00	0.00	0.00	1.90	0.00	0.00	0.63	0.00	4.43	0.00	1.27	1.90	0.00	1.27	0.00	3.80	0.00	0.00	0.00	0.00	0.00
There are many great stories from BMW drivers around the world relating to the strong bond they have with their car. This is why #BMWstories was created: to give some love back and share those personal experiences with the community.  Also Bavarian born  Simon Röhrer (Instagram.com/mosey1412) grew up with an appreciation for efficient dynamics and the ultimate driving machine. Yet despite Simon's love affair with BMW  this late bloomer only owned his first 6 years ago. Inspired by his friend's E90  Simon looked high and low for the perfect BMW for him  and one year later was introduced to this LeMans Blue 3 Series. Since then  the two have been inseparable  and Simon often just sits in a chair and admires his car from afar. We are glad you feel like we made your life blessed  Simon!   Use the hashtag #BMWstories to share your story. If you wanna check out more  head to bmw.com/bmwstories	HER	photo	158	82.17	95.60	16.64	99.00	17.56	18.35	9.49	8.23	0.63	0.00	0.00	0.63	9.49	2.53	3.16	1.27	1.90	0.63	1.27	1.27	0.00	0.63	10.76	5.06	1.90	2.53	1.27	0.00	0.00	0.63	0.00	0.00	0.00	0.00	0.63
There are many great stories from BMW drivers from around the world relating to the strong bond they have with their car. This is why #BMWstories was created: to give some love back and share those personal experiences with the community.  Love built from Legos. Amir Pasha  a mechanical engineering student having a crush on the BMW E30 M3  has used his technical skills to design and built his favorite car with Legos. Amir dedicated the project a page on Instagram (https://instagram.com/legoe30m3) and submitted his idea to LEGO Ideas to get them to review  refine and produce this model as a set to be sold worldwide. Please support his project here: http://bit.ly/1VcyfxP  LEGO  we would also love to see the Lego E30 M3 realized  as Amir embodied the spirit of our classic BMW.   Use the hashtag #BMWstories to share your story. If you want to check out more  head to bmw.com/bmwstories	HER	photo	161	92.84	94.67	1.00	99.00	20.12	18.63	7.45	6.83	0.00	0.00	0.00	0.00	8.07	2.48	3.11	1.86	1.24	0.00	0.62	0.62	0.00	0.00	10.56	6.21	1.24	1.86	1.24	0.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00
The BMW 330e Sedan with eDrive technology combines impressive driving dynamics with the utmost efficiency and eco-friendliness thanks to local emissions-free driving. Style  innovation and performance is as easy as 1  2  3 series.   For further information head over to: http://bit.ly/1NUOwaZ  ------------------ Fuel consumption and CO2 emissions for the BMW 330e Sedan: Fuel consumption in l/100 km (combined): 2.4 to 2.1* CO2 emissions in g/km (combined): 55 to 49* *The values for operation in the hybrid mode are preliminary values only and have not yet been confirmed.  Further information about the official fuel consumption and the official specific CO2 emissions for new passenger automobiles can be found in the 'New Passenger Vehicle Fuel Consumption and CO2 Emission Guidelines'  which are available free of charge at all sales outlets and from DAT Deutsche Automobil Treuhand GmbH  Hellmuth-Hirth-Str. 1  73760 Ostfildern  Germany.	HER	photo	151	96.71	47.35	9.82	84.28	30.20	29.80	5.96	4.64	1.32	0.00	0.00	0.00	3.97	1.99	0.00	0.00	0.00	1.32	0.66	0.00	0.00	0.00	2.65	0.00	0.66	1.99	0.00	0.00	0.00	2.65	0.00	0.00	0.00	0.00	0.00
A perfect blend of inspiration and creative freedom. That is the BMW Individual Collection. With an abundance of colour  trim  interior  and equipment options  you can personalise #drivingluxury your way.   _____  Fuel consumption and CO2 emissions for the BMW 750Li: Fuel consumption in l/100 km (combined): 8.0 CO2 emissions in g/km (combined): 187  Further information about the official fuel consumption and the official specific CO2 emissions for new passenger automobiles can be found in the 'New Passenger Vehicle Fuel Consumption and CO2 Emission Guidelines'  which are available free of charge at all sales outlets and from DAT Deutsche Automobil Treuhand GmbH  Hellmuth-Hirth-Str. 1  73760 Ostfildern  Germany and on http://www.dat.de/angebote/verlagsprodukte/leitfaden-kraftstoffverbrauch.html	HER	photo	123	94.93	65.80	7.12	71.55	24.60	35.77	5.69	4.07	1.63	0.00	0.00	0.00	6.50	2.44	0.81	0.00	0.81	2.44	0.00	0.81	0.00	0.00	3.25	0.00	0.81	1.63	0.81	0.00	0.00	4.07	0.00	0.00	0.00	0.00	0.00
“Our Hommage cars not only demonstrate how proud we are of our heritage  but also how important the past can be in determining our future.” – Adrian van Hooydonk  Senior Vice President BMW Group Design.	HER	photo	34	10.28	96.11	47.25	98.87	17.00	20.59	5.88	5.88	0.00	0.00	0.00	0.00	14.71	2.94	5.88	0.00	0.00	0.00	5.88	0.00	0.00	0.00	26.47	14.71	2.94	8.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
When in Vegas  at least never gamble on your ride. The BMW 4 Series Convertible.	HER	photo	15	83.85	74.76	99.00	25.77	7.50	6.67	0.00	0.00	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BMW M is presenting an initial preview of a high-performance model for use on the road and  above all  on the race track: the BMW Concept M4 GTS. Find every piece of information on this magnificient ride right here: http://www.m-power.com/m4gts	HER	video	47	99.00	50.00	65.58	66.07	23.50	14.89	2.13	2.13	0.00	0.00	0.00	0.00	10.64	4.26	2.13	0.00	0.00	4.26	0.00	0.00	0.00	0.00	6.38	0.00	0.00	6.38	0.00	0.00	0.00	2.13	0.00	0.00	0.00	0.00	0.00
Another story about a special relationship between a BMW and its owner: Love knows no age. When the 19-year-old student Matyáš Homola (https://instagram.com/matyashomola/) bought his first car  it was obviously a hard decision as to what model to choose. But despite the fact he has always been into motorsports  he didn't opt for a new car. He is now the proud owner of a 1978 BMW 3 Series  so his car is two times older than him. Lovingly  he named his 3 Series „Colette“ and takes great care in maintaining the classic soul of the car - he even has plans for exhibitions and some rally competitions. We are quite sure  this couple will have a great future together. #BMWstories #legends	HER	photo	126	73.03	84.90	8.33	99.00	18.00	15.87	6.35	6.35	0.00	0.00	0.00	0.00	10.32	2.38	0.00	0.00	1.59	3.17	3.17	0.00	0.00	0.79	13.49	4.76	3.17	3.97	2.38	0.00	0.00	0.79	0.00	0.00	0.00	0.00	0.00
The BMW i8 is a pioneer of its time; and there's no question that the right setting can add even more magic to the world's most progressive sports car. Michael Astarael Gao (https://www.facebook.com/gcseed) would certainly agree  and here are some of the pictures he took of his BMW i8 on an early June morning in Canada. BMW i _________ BMW i8 plug-in hybrid BMW eDrive: energy consumption (combined): 11 9 kWh/100 km Fuel consumption (combined): 2 1 l/100 km  CO2 emissions (combined): 49 g/km. Fuel consumption is determined in accordance with the ECE driving cycle (93/116/EC)  made up of approximately one-third urban traffic and two-thirds extra-urban driving (based on the distance covered).  Further information about the official fuel consumption and the official specific CO2 emissions for new passenger automobiles can be found in the 'New Passenger Vehicle Fuel Consumption and CO2 Emission Guidelines'  which are available free of charge at all sales outlets and from DAT Deutsche Automobil Treuhand GmbH  Hellmuth-Hirth-Str. 1  73760 Ostfildern  Germany and on http://www.dat.de/angebote/verlagsprodukte/leitfaden-kraftstoffverbrauch.html	HER	photo	195	94.21	54.10	11.67	44.55	32.50	26.15	4.10	2.56	1.54	0.00	0.00	0.00	6.67	2.05	1.03	0.51	2.05	1.54	0.00	0.51	0.00	0.00	3.59	0.51	0.51	1.54	1.03	0.00	0.00	3.59	0.51	0.00	0.00	0.00	0.00
Looking at cars you love is nice; but owning them is even better. Fabian's passion for cars began when he was a little boy. From his position in the backseat  he watched the vehicles that passed and tried to recognise each model just by looking at their headlights. Later  after he and his father went to see the Ennstal-Classic Rally  Fabian became more and more fascinated by youngtimer and classic vehicles. And so the first car he bought did not roll directly off the production line  but it came rather with a great history. He chose the BMW 520i  built in 1987. This photo was taken after his good friend had given him a lift to where his BMW 520i was waking up from its winter sleep. #BMWstories #legends  A BMW story shared by https://www.facebook.com/fabian.winkler.7	HER	photo	143	80.64	86.85	8.05	96.36	17.88	16.08	4.90	4.90	0.00	0.00	0.00	0.00	5.59	1.40	0.70	0.70	0.00	0.70	2.80	3.50	0.00	0.00	7.69	2.80	2.10	0.70	2.80	0.00	0.00	0.70	0.00	0.00	0.00	0.00	0.00
The all-new BMW 7 Series is the world’s first series-produced car that owners will be able to manoeuvre in or out of forward-parking spaces or garages without anyone at the wheel. The Remote Control Parking function allows the driver to conveniently hop out of the vehicle before parking it. The driver activates the remote-controlled parking function from outside the vehicle via the BMW display key. The entire parking procedure is monitored by Park Distance Control (PDC)  the Parking assistant and the Surround View sensors. In order to use the remote-controlled parking function  the vehicle has to be straight and centered  facing the parking space or garage. During the parking procedure the driver can bring the vehicle to a controlled stop if necessary. Once parked  the engine can be switched off via the key. And when it's time to move on  the engine can also be restarted via the key. #drivingluxury	HER	photo	155	99.00	39.81	72.10	25.77	17.22	27.74	0.00	0.00	0.00	0.00	0.00	0.00	11.61	0.00	5.81	0.65	3.23	1.94	3.23	1.29	0.00	0.00	7.10	0.00	1.29	5.16	0.00	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00
DRIVING LUXURY.  The all-new BMW 7 Series represents precision and contemporary design wherever you look. Leading innovations such as BMW Gesture Control  BMW Laserlight  Carbon Core or Remote Control Parking set benchmarks for an unmatched driving and comfortable travelling experience. #drivingluxury https://youtu.be/2eBAGKpf8p8	HER	video	49	76.89	58.08	21.80	64.46	12.25	40.82	2.04	2.04	0.00	0.00	0.00	0.00	12.24	0.00	6.12	0.00	2.04	4.08	2.04	2.04	0.00	0.00	6.12	0.00	2.04	6.12	0.00	0.00	0.00	2.04	0.00	0.00	0.00	0.00	0.00
The force is strong with this one. The BMW X6.	HER	photo	10	98.46	50.00	1.00	99.00	5.00	0.00	10.00	10.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
After the rain comes sun; after the sun comes rain again. BMW Australia shows some Underwater Love.  http://bit.ly/BMW-M5-Efficiency	HER	photo	24	99.00	66.17	91.31	92.40	8.00	12.50	4.17	4.17	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	4.17	0.00	0.00	4.17	0.00	0.00	8.33	4.17	4.17	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	0.00
From Norway with love. Where the sky meets the earth  where harsh winds shake the trees  there you'll find the open roads that lead you close to the wind. Tromsø Fotostudio enjoyed just that in the heart of Norway. – #BMWstories	HER	photo	40	96.54	93.30	86.07	25.77	10.00	7.50	10.00	5.00	5.00	2.50	0.00	0.00	5.00	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	2.50	7.50	5.00	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"Ciao bella. Posso entrare?" The irresistible BMW 6 Series Gran Coupé. BMW Italia	HER	photo	13	97.77	50.00	1.00	25.77	3.25	15.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00
No need to hide. The all-new BMW 1 Series.	HER	photo	10	98.46	15.86	1.00	25.77	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	10.00	0.00	10.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Shaped by dynamics and elegance. BMWBLOG shot the BMW 7 Series	HER	photo	11	98.22	50.00	2.40	99.00	5.50	27.27	9.09	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
An eye for details.  Sam Hurley (www.instagram.com/samhurley) took out his stunning BMW 5 Series for a seriously-mystical outdoor shoot. Amazing sunset included. – #BMWstories	HER	photo	27	98.75	77.05	1.00	25.77	6.75	37.04	7.41	3.70	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.70	0.00	0.00	7.41	3.70	0.00	0.00	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Get electrified by BMW eDrive: the Intelligent Energy Management  an optimised interaction between electric motor and combustion engine safes up to ten per cent of energy  Brake Energy Regeneration  one way to charge the High-voltage battery and ECO PRO Mode to configure all vehicle systems towards efficiency with just one button.  Get electrified by the BMW X5 eDrive. #BMW #EfficientDynamics   http://www.bmw.com/com/en/insights/technology/efficientdynamics/2015/bmw_edrive.html	HER	photo	75	99.00	55.29	1.00	97.78	25.00	28.00	5.33	5.33	0.00	0.00	0.00	0.00	2.67	1.33	0.00	0.00	0.00	1.33	0.00	0.00	0.00	0.00	12.00	1.33	4.00	4.00	2.67	0.00	0.00	1.33	0.00	0.00	0.00	0.00	0.00
Two beauties of a kind. Two beauties of a time. BMW i USA   BMW i8 plug-in hybrid BMW eDrive: energy consumption (combined): 11 9 kWh/100 km Fuel consumption (combined): 2 1 l/100 km  CO2 emissions (combined): 49 g/km. Fuel consumption is determined in accordance with the ECE driving cycle (93/116/EC)  made up of approximately one-third urban traffic and two-thirds extra-urban driving (based on the distance covered).  Further information about the official fuel consumption and the official specific CO2 emissions for new passenger automobiles can be found in the 'New Passenger Vehicle Fuel Consumption and CO2 Emission Guidelines'  which are available free of charge at all sales outlets and from DAT Deutsche Automobil Treuhand GmbH  Hellmuth-Hirth-Str. 1  73760 Ostfildern  Germany and on http://www.dat.de/.../verl.../leitfaden-kraftstoffverbrauch.html	HER	photo	144	97.46	47.22	17.01	38.09	24.00	28.47	4.86	2.78	2.08	0.00	0.00	0.00	5.56	2.08	1.39	0.00	0.69	1.39	0.00	0.00	0.00	0.00	2.78	0.00	0.69	2.08	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	0.00
Let’s get this party started! Gear up for fun with our latest innovation - colourful party headlights.	HER	video	16	92.84	99.00	35.37	99.00	8.00	25.00	18.75	18.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	37.50	25.00	0.00	6.25	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25
A beast in the wild. A model inside.	HER	photo	8	99.00	50.00	74.76	25.77	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Stunning scenery  stunning car: BMW BLOG hits Romania's famous Transfăgărășan Road with the BMW 6 Series Gran Coupé. http://bit.ly/BMW6Series-GranCoupe-Efficiency	HER	photo	25	97.89	50.00	1.59	25.77	12.50	32.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	4.00	4.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00
A brief history of time. #ThrowbackThursday #tbt	HER	photo	7	99.00	50.00	99.00	25.77	3.50	28.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Tyres on the tarmac  but it still feels like flying. BMW Austria introduces the BMW M4 Coupé with head-up display. #BMWstories #connected http://youtu.be/PasLR0Y-Igw http://bit.ly/BMWM4-Efficiency	HER	photo	35	96.93	38.74	26.00	25.77	11.67	20.00	0.00	0.00	0.00	0.00	0.00	0.00	5.71	2.86	0.00	0.00	0.00	0.00	2.86	2.86	0.00	2.86	5.71	0.00	2.86	2.86	0.00	0.00	0.00	5.71	0.00	0.00	0.00	0.00	0.00
How best to drift and control your vehicle in an unforeseen situation? 1. Enter BMW Driving Experience. 2. Book your instructed training. 3. Have all the fun!   http://bit.ly/BMWMDrivingExperience	HER	photo	32	84.57	89.42	7.84	99.00	4.00	28.12	6.25	6.25	0.00	0.00	0.00	0.00	9.38	0.00	6.25	0.00	0.00	3.12	0.00	0.00	0.00	0.00	6.25	0.00	3.12	6.25	3.12	0.00	0.00	3.12	0.00	0.00	0.00	3.12	3.12
Owner of the night: the BMW 4 Series Coupé.	HER	photo	9	99.00	86.68	4.97	25.77	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Times change  but the BMW kidney grille stays the same.	HER	video	10	98.46	15.86	99.00	25.77	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	10.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Agile. Beautiful. Classic. Distinctive. Elegant. Futuristic. Groundbreaking. Hallowed. Innovative. Jet-setting. Kinetic. Luxurious. Masterful. Notable. Powerful. Quality. Revolutionary. Sleek. Tantalising. Unparalleled. Versatile. X-treme. Youthful. Zesty.  BMW 6 Series Convertible	HER	photo	30	92.84	36.95	10.08	99.00	1.20	70.00	6.67	6.67	0.00	0.00	0.00	0.00	3.33	0.00	0.00	0.00	0.00	3.33	3.33	3.33	0.00	0.00	10.00	0.00	3.33	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
The February blues have never looked so good. #BMW #1Series	HER	photo	10	8.19	15.86	43.37	99.00	5.00	20.00	10.00	10.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00	0.00	0.00	10.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Yield to temptation. The BMW M235i with BMW M Performance Parts.	HER	photo	11	99.00	50.00	1.00	25.77	5.50	18.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00
In the right car  you’ll always be on the sunny side of the street. The all-new #BMW #1Series.	HER	photo	19	99.00	85.38	99.00	97.58	9.50	5.26	5.26	5.26	0.00	0.00	0.00	0.00	10.53	0.00	0.00	0.00	0.00	10.53	0.00	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Safety first! This BMW M4 MotoGP Safety Car will safely lead high-performance racing prototypes in any conditions.	HER	photo	18	85.72	50.00	87.07	99.00	9.00	16.67	16.67	16.67	0.00	0.00	0.00	0.00	11.11	0.00	5.56	0.00	5.56	0.00	0.00	0.00	0.00	0.00	33.33	0.00	11.11	11.11	0.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	5.56
Marco Wittmann had a great time drifting the BMW X6 M at its launch in Austin  Texas.	HER	photo	17	98.92	50.00	91.95	98.87	17.00	11.76	5.88	5.88	0.00	0.00	0.00	0.00	5.88	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
It has never been easier to take a quick seat inside the new BMW 6 Series models.  BMW 6 Series Coupé: http://bit.ly/1J0JMzE BMW 6 Series Gran Coupé: http://bit.ly/1F1x153 BMW 6 Series Convertible: http://bit.ly/1vGEP9B	HER	photo	49	90.62	41.92	1.69	64.46	24.50	2.04	2.04	2.04	0.00	0.00	0.00	0.00	2.04	0.00	0.00	0.00	0.00	2.04	0.00	0.00	0.00	0.00	2.04	0.00	0.00	0.00	2.04	0.00	0.00	6.12	0.00	0.00	0.00	0.00	0.00
Things you don't see very often: a motionless 600 HP BMW on a race track. The BMW M5 30 Jahre Edition. BMW France	HER	photo	23	80.03	66.81	9.25	25.77	7.67	8.70	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	4.35	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Always looking stunning: in close-up  from far off  from everywhere! BMW M Performance Parts on the Ultimate Playground: http://youtu.be/2vq_ecTUGkU	HER	photo	25	99.00	50.00	96.63	25.77	12.50	28.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	8.00	0.00	4.00	0.00	0.00	4.00	0.00	0.00	4.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	4.00
Choose your colour. The BMW M4 Coupé. BMW Canada	HER	photo	9	92.84	98.62	4.97	25.77	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
You can run but you can't hide. Actually  you can't even run from this BMW X4 2.0i xDrive show car by AC Schnitzer.  On display at BMW Welt | BMW Museum.	HER	photo	31	44.10	37.35	96.96	25.77	10.33	9.68	0.00	0.00	0.00	0.00	0.00	0.00	12.90	0.00	0.00	0.00	0.00	0.00	12.90	6.45	0.00	0.00	3.23	0.00	0.00	0.00	0.00	3.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Too red to resist. The BMW 2 Series Coupé.	HER	photo	9	98.75	50.00	1.00	25.77	4.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	11.11	0.00	0.00	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Luxury². BMW 4 Series Gran Coupé with Luxury Line.	HER	photo	9	98.75	50.00	1.00	25.77	4.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Can you fill the silence?	HER	photo	5	51.43	99.00	43.37	25.77	5.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00
A scenic drive through the mountains.  Jason Dodd drove the BMW Alpina Roadster Z8 through Furka Pass #BMWstories #active	HER	photo	19	99.00	50.00	50.35	97.58	9.50	26.32	5.26	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
You don't need a couch to choose comfort. The BMW 2 Series Active Tourer.	HER	photo	14	92.84	76.25	1.00	99.00	7.00	7.14	14.29	14.29	0.00	0.00	0.00	0.00	14.29	7.14	0.00	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
We've got the power. The BMW X5 M.	HER	photo	8	92.84	99.00	1.00	25.77	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	37.50	12.50	0.00	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Funky! The BMW i8 gets a technicolour makeover thanks to London designer Richard James. BMW UK BMW i	HER	photo	18	98.75	28.91	1.00	98.27	6.00	22.22	5.56	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.56
Dirk Schulz was fascinated by the #BMWi8 from the first time he saw the initial concept sketches. He put his name down straight away  back in 2010  without knowing what the technical details might be  or even if the car would ever be realized. Now he's one of the first owners. #BMWstories #pioneer BMW i http://youtu.be/HJXonw1JWjg	HER	photo	60	73.60	56.63	54.43	25.77	15.00	21.67	0.00	0.00	0.00	0.00	0.00	0.00	13.33	3.33	0.00	3.33	5.00	1.67	5.00	1.67	0.00	0.00	6.67	0.00	3.33	3.33	0.00	0.00	0.00	1.67	0.00	0.00	0.00	0.00	0.00
Treasure chest.	HER	photo	2	92.84	50.00	1.00	99.00	2.00	50.00	50.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
White Walker incoming. The BMW 3 Series Sedan.	HER	photo	8	99.00	50.00	1.00	25.77	4.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Athletic design meets an efficient driving experience: Be one of the first to have a closer look at the all-new BMW 1 Series.  http://youtu.be/3tI4Yeg9HvA	HER	photo	31	99.00	62.65	20.84	25.77	15.50	12.90	0.00	0.00	0.00	0.00	0.00	0.00	3.23	0.00	0.00	0.00	0.00	3.23	0.00	3.23	0.00	0.00	9.68	3.23	6.45	0.00	0.00	0.00	0.00	3.23	0.00	0.00	0.00	0.00	0.00
Catching the sun in Beverly Hills with the BMW X6. Thanks to Eva Natascha Napp Photography and Richard Thompson Photography.	HER	photo	20	99.00	50.00	3.37	96.76	10.00	35.00	5.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
This is how we roll. The BMW 4 Series Coupé.	HER	photo	10	8.19	97.69	3.37	25.77	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
There is no such thing as bad weather.	HER	photo	8	1.00	10.58	1.00	1.00	8.00	12.50	12.50	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00
