posts,label
is_clout_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes netspeak_yes few_sixltr has_exclam type_Photo has_hashtag has_url,HER
is_tone_yes posemo_yes insight_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes high_wps type_Video has_url,LER
is_analytic_yes is_authentic_no is_tone_yes posemo_yes insight_yes cause_yes discrep_yes tentat_yes certain_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes high_wps type_Video has_url,LER
is_analytic_yes is_authentic_no cause_yes discrep_yes certain_yes see_yes hear_yes affiliation_yes power_yes netspeak_yes has_qmark type_Photo has_hashtag has_url,HER
is_analytic_yes insight_yes cause_yes tentat_yes power_yes netspeak_yes many_sixltr type_Photo has_hashtag has_url,HER
insight_yes tentat_yes affiliation_yes power_yes reward_yes netspeak_yes type_Photo has_hashtag has_url,HER
is_analytic_no is_clout_yes posemo_yes insight_yes cause_yes tentat_yes certain_yes affiliation_yes power_yes netspeak_yes few_sixltr type_Photo has_hashtag has_url,HER
see_yes reward_yes netspeak_yes has_qmark type_Video has_hashtag has_url,LER
is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes differ_yes affiliation_yes achieve_yes reward_yes risk_yes netspeak_yes high_wps has_qmark type_Video has_url,LER
is_analytic_yes is_tone_yes posemo_yes negemo_yes cause_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes many_sixltr high_wps type_Video has_hashtag has_url,LER
is_clout_no is_tone_no negemo_yes sad_yes cause_yes certain_yes differ_yes see_yes power_yes netspeak_yes high_wps type_Photo has_hashtag has_url,HER
is_analytic_no is_authentic_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes netspeak_yes many_sixltr type_Video has_hashtag has_url,LER
is_analytic_no is_authentic_yes cause_yes few_sixltr low_wps type_Link,LER
is_analytic_no is_clout_yes cause_yes discrep_yes tentat_yes certain_yes differ_yes affiliation_yes low_wps has_exclam type_Link has_hashtag,LER
is_clout_yes is_tone_yes posemo_yes negemo_yes sad_yes insight_yes cause_yes tentat_yes certain_yes differ_yes see_yes hear_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes many_sixltr high_wps has_exclam has_qmark type_Photo has_hashtag has_url,HER
is_analytic_yes is_clout_no is_authentic_yes cause_yes many_sixltr type_Link,LER
is_analytic_yes is_authentic_yes posemo_yes insight_yes see_yes affiliation_yes achieve_yes reward_yes netspeak_yes high_wps type_Video has_url,LER
is_analytic_yes discrep_yes power_yes netspeak_yes few_sixltr has_qmark type_Photo has_url,HER
is_clout_no see_yes power_yes netspeak_yes type_Video has_hashtag has_url,LER
is_analytic_no is_authentic_no is_tone_yes posemo_yes tentat_yes differ_yes affiliation_yes reward_yes netspeak_yes few_sixltr has_qmark type_Photo has_url,HER
tentat_yes differ_yes reward_yes netspeak_yes few_sixltr has_qmark type_Photo has_url,HER
is_analytic_no is_clout_yes is_authentic_no discrep_yes certain_yes affiliation_yes netspeak_yes high_wps type_Video has_url,LER
is_analytic_yes is_clout_no see_yes achieve_yes netspeak_yes type_Photo has_url,HER
is_authentic_no insight_yes certain_yes see_yes affiliation_yes netspeak_yes type_Video has_hashtag has_url,LER
is_analytic_yes is_clout_no is_tone_no negemo_yes anx_yes insight_yes cause_yes discrep_yes certain_yes differ_yes affiliation_yes achieve_yes netspeak_yes type_Photo has_url,HER
insight_yes tentat_yes affiliation_yes achieve_yes power_yes netspeak_yes high_wps type_Photo has_hashtag has_url,HER
insight_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes has_exclam type_Photo has_url,HER
insight_yes cause_yes affiliation_yes netspeak_yes few_sixltr type_Photo has_hashtag has_url,HER
is_clout_no is_authentic_yes insight_yes certain_yes see_yes netspeak_yes high_wps type_Video has_hashtag has_url,LER
is_clout_yes is_authentic_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes reward_yes netspeak_yes high_wps type_Video has_hashtag has_url,LER
is_clout_yes insight_yes tentat_yes affiliation_yes reward_yes netspeak_yes type_Photo has_url,HER
is_analytic_yes is_clout_no insight_yes cause_yes hear_yes power_yes reward_yes netspeak_yes high_wps type_Video has_hashtag has_url,LER
is_analytic_no is_tone_yes posemo_yes see_yes affiliation_yes achieve_yes netspeak_yes has_exclam has_qmark type_Video has_url,LER
is_authentic_yes insight_yes tentat_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr high_wps type_Photo has_url,HER
is_clout_no is_authentic_yes posemo_yes insight_yes cause_yes tentat_yes certain_yes differ_yes achieve_yes reward_yes netspeak_yes type_Photo has_hashtag has_url,HER
is_authentic_no is_tone_yes posemo_yes insight_yes cause_yes tentat_yes certain_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes nonflu_yes many_sixltr high_wps type_Video has_hashtag has_url,LER
is_analytic_no is_clout_no is_authentic_yes see_yes power_yes many_sixltr low_wps type_Photo,HER
is_analytic_yes is_clout_no cause_yes differ_yes see_yes affiliation_yes reward_yes netspeak_yes type_Video has_url,LER
is_authentic_no see_yes affiliation_yes power_yes netspeak_yes few_sixltr low_wps has_exclam has_qmark type_Video has_url,LER
is_analytic_yes is_clout_no is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes tentat_yes netspeak_yes type_Photo has_hashtag has_url,HER
is_clout_yes is_authentic_yes insight_yes certain_yes hear_yes affiliation_yes achieve_yes netspeak_yes few_sixltr high_wps type_Video has_hashtag has_url,LER
is_analytic_no is_clout_yes insight_yes cause_yes feel_yes affiliation_yes achieve_yes netspeak_yes few_sixltr high_wps type_Video has_hashtag has_url,LER
is_authentic_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes netspeak_yes many_sixltr has_exclam type_Video has_hashtag has_url,LER
is_clout_no is_authentic_yes posemo_yes cause_yes differ_yes see_yes affiliation_yes power_yes netspeak_yes few_sixltr high_wps type_Video has_url,LER
is_analytic_yes is_clout_no insight_yes cause_yes discrep_yes tentat_yes differ_yes see_yes hear_yes reward_yes netspeak_yes has_exclam has_qmark type_Photo has_hashtag has_url,HER
is_analytic_yes is_clout_no is_authentic_no posemo_yes negemo_yes cause_yes tentat_yes feel_yes achieve_yes power_yes reward_yes risk_yes netspeak_yes few_sixltr type_Video has_url,LER
is_analytic_yes is_clout_no insight_yes cause_yes tentat_yes see_yes hear_yes power_yes netspeak_yes has_qmark type_Photo has_hashtag has_url,HER
is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes power_yes type_Link,LER
is_clout_yes posemo_yes cause_yes affiliation_yes achieve_yes reward_yes netspeak_yes many_sixltr high_wps type_Photo has_hashtag has_url,HER
is_analytic_yes is_authentic_no is_tone_yes posemo_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes has_qmark type_Photo has_url,HER
is_clout_no is_authentic_no is_tone_yes posemo_yes cause_yes netspeak_yes many_sixltr low_wps type_Video has_hashtag has_url,LER
is_analytic_no cause_yes see_yes affiliation_yes netspeak_yes low_wps has_exclam has_qmark type_Video has_url,LER
is_analytic_no is_authentic_yes is_tone_yes posemo_yes affiliation_yes power_yes many_sixltr type_Photo,LER
is_tone_yes posemo_yes insight_yes achieve_yes power_yes reward_yes netspeak_yes high_wps type_Video has_url,LER
is_tone_no negemo_yes insight_yes cause_yes affiliation_yes risk_yes netspeak_yes has_qmark type_Status has_hashtag has_url,LER
is_analytic_yes is_authentic_no is_tone_yes posemo_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes has_qmark type_Photo has_url,HER
is_authentic_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes netspeak_yes type_Video has_hashtag has_url,LER
is_analytic_no is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes discrep_yes tentat_yes differ_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes high_wps type_Video has_hashtag has_url,LER
is_clout_no is_authentic_yes posemo_yes insight_yes cause_yes discrep_yes tentat_yes differ_yes achieve_yes power_yes reward_yes netspeak_yes high_wps type_Video has_hashtag has_url,LER
is_analytic_no is_clout_no posemo_yes insight_yes cause_yes differ_yes see_yes feel_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes high_wps has_qmark type_Photo has_url,HER
is_authentic_yes insight_yes discrep_yes netspeak_yes high_wps has_qmark type_Video has_url,LER
is_clout_yes is_authentic_no insight_yes discrep_yes see_yes affiliation_yes power_yes netspeak_yes has_qmark type_Photo has_url,HER
is_authentic_no is_tone_yes posemo_yes see_yes affiliation_yes achieve_yes power_yes netspeak_yes high_wps type_Video has_url,LER
is_authentic_no netspeak_yes type_Link has_url,LER
is_authentic_no posemo_yes negemo_yes anx_yes cause_yes tentat_yes certain_yes differ_yes feel_yes affiliation_yes achieve_yes power_yes netspeak_yes high_wps type_Video has_url,LER
is_analytic_no is_clout_no is_authentic_no posemo_yes insight_yes cause_yes tentat_yes differ_yes power_yes reward_yes netspeak_yes nonflu_yes many_sixltr high_wps type_Video has_hashtag has_url,LER
insight_yes tentat_yes affiliation_yes achieve_yes netspeak_yes high_wps has_qmark type_Photo has_url,LER
is_analytic_yes is_clout_no is_authentic_no is_tone_yes posemo_yes insight_yes tentat_yes see_yes feel_yes power_yes netspeak_yes high_wps type_Photo has_url,HER
is_analytic_yes is_clout_no insight_yes cause_yes tentat_yes see_yes netspeak_yes few_sixltr low_wps has_qmark type_Video has_hashtag has_url,LER
is_clout_yes cause_yes hear_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_exclam has_qmark type_Video has_hashtag has_url,LER
is_analytic_no is_clout_yes is_authentic_no insight_yes tentat_yes affiliation_yes netspeak_yes type_Photo has_url,HER
is_clout_yes is_authentic_no is_tone_no negemo_yes sad_yes hear_yes achieve_yes power_yes many_sixltr low_wps has_qmark type_Video,LER
is_clout_no see_yes netspeak_yes few_sixltr low_wps has_exclam has_qmark type_Video has_hashtag has_url,LER
is_analytic_no insight_yes cause_yes tentat_yes certain_yes see_yes netspeak_yes has_qmark type_Video has_hashtag has_url,LER
insight_yes cause_yes discrep_yes tentat_yes hear_yes affiliation_yes power_yes netspeak_yes few_sixltr has_qmark type_Photo has_hashtag has_url,HER
is_clout_no is_authentic_no insight_yes see_yes netspeak_yes few_sixltr low_wps has_exclam has_qmark type_Video has_url,LER
is_analytic_no insight_yes cause_yes tentat_yes see_yes affiliation_yes netspeak_yes many_sixltr type_Video has_hashtag has_url,LER
is_analytic_no is_tone_yes posemo_yes affiliation_yes power_yes many_sixltr type_Photo,LER
is_clout_yes is_tone_yes posemo_yes insight_yes cause_yes affiliation_yes achieve_yes netspeak_yes few_sixltr type_Video has_hashtag has_url,LER
is_authentic_yes see_yes affiliation_yes netspeak_yes few_sixltr low_wps has_qmark type_Video has_url,LER
is_analytic_no is_authentic_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes power_yes netspeak_yes many_sixltr type_Video has_hashtag has_url,LER
is_clout_yes is_tone_yes posemo_yes insight_yes see_yes affiliation_yes power_yes reward_yes netspeak_yes many_sixltr high_wps has_qmark type_Video has_hashtag has_url,LER
is_analytic_no is_clout_yes is_authentic_no posemo_yes negemo_yes insight_yes cause_yes see_yes affiliation_yes power_yes reward_yes risk_yes netspeak_yes many_sixltr has_qmark type_Video has_url,LER
is_analytic_yes is_clout_no power_yes netspeak_yes many_sixltr type_Video has_hashtag has_url,LER
is_authentic_yes insight_yes cause_yes differ_yes see_yes affiliation_yes power_yes netspeak_yes type_Video has_hashtag has_url,LER
is_analytic_yes posemo_yes insight_yes differ_yes see_yes affiliation_yes power_yes netspeak_yes high_wps has_exclam type_Photo has_url,HER
is_analytic_no is_tone_yes posemo_yes insight_yes cause_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_qmark type_Video has_url,LER
is_analytic_yes is_clout_no is_authentic_no cause_yes see_yes affiliation_yes achieve_yes netspeak_yes type_Photo has_url,HER
is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes discrep_yes tentat_yes differ_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes high_wps type_Photo has_hashtag has_url,HER
is_clout_yes is_authentic_yes posemo_yes insight_yes tentat_yes certain_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr has_qmark type_Photo has_hashtag has_url,HER
see_yes affiliation_yes power_yes reward_yes netspeak_yes low_wps has_exclam has_qmark type_Video has_hashtag has_url,LER
is_clout_yes is_authentic_yes posemo_yes insight_yes tentat_yes certain_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr has_qmark type_Photo has_hashtag has_url,HER
is_clout_yes is_authentic_no cause_yes affiliation_yes power_yes netspeak_yes has_exclam type_Photo has_hashtag has_url,HER
is_analytic_yes is_authentic_yes posemo_yes insight_yes cause_yes tentat_yes affiliation_yes power_yes netspeak_yes low_wps has_qmark type_Video has_hashtag has_url,LER
is_clout_yes is_authentic_yes insight_yes cause_yes discrep_yes differ_yes see_yes affiliation_yes power_yes reward_yes netspeak_yes few_sixltr high_wps type_Video has_hashtag has_url,LER
is_analytic_yes is_clout_no insight_yes cause_yes see_yes affiliation_yes power_yes has_exclam type_Photo,HER
is_analytic_no is_clout_no is_authentic_no cause_yes discrep_yes tentat_yes affiliation_yes power_yes netspeak_yes many_sixltr has_qmark type_Video has_hashtag has_url,LER
is_analytic_no is_tone_yes posemo_yes see_yes affiliation_yes power_yes type_Photo,LER
is_clout_no is_authentic_yes posemo_yes insight_yes cause_yes tentat_yes certain_yes affiliation_yes power_yes netspeak_yes many_sixltr low_wps has_qmark type_Video has_hashtag has_url,LER
is_analytic_yes discrep_yes power_yes reward_yes netspeak_yes few_sixltr has_qmark type_Photo has_url,HER
is_analytic_yes posemo_yes insight_yes cause_yes discrep_yes tentat_yes affiliation_yes reward_yes netspeak_yes few_sixltr has_exclam has_qmark type_Photo has_hashtag has_url,HER
is_analytic_yes is_clout_yes is_tone_yes posemo_yes insight_yes cause_yes affiliation_yes netspeak_yes few_sixltr has_exclam has_qmark type_Photo has_hashtag has_url,HER
is_tone_yes posemo_yes see_yes affiliation_yes power_yes many_sixltr type_Photo,LER
is_analytic_yes is_authentic_yes cause_yes see_yes affiliation_yes netspeak_yes low_wps type_Photo has_url,HER
is_analytic_yes is_clout_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes achieve_yes power_yes netspeak_yes has_qmark type_Video has_hashtag has_url,LER
is_analytic_yes is_clout_yes is_authentic_yes insight_yes tentat_yes see_yes affiliation_yes achieve_yes power_yes netspeak_yes high_wps type_Video has_hashtag has_url,LER
is_analytic_yes is_clout_no is_authentic_yes certain_yes see_yes feel_yes power_yes netspeak_yes type_Video has_url,LER
is_authentic_no is_tone_yes posemo_yes negemo_yes insight_yes cause_yes discrep_yes tentat_yes affiliation_yes achieve_yes reward_yes risk_yes netspeak_yes few_sixltr has_exclam type_Photo has_hashtag has_url,LER
is_authentic_no see_yes hear_yes reward_yes netspeak_yes assent_yes few_sixltr high_wps type_Video has_url,LER
is_analytic_no is_clout_no is_authentic_yes see_yes power_yes many_sixltr low_wps type_Photo,HER
is_analytic_yes is_tone_yes posemo_yes insight_yes cause_yes tentat_yes certain_yes hear_yes power_yes netspeak_yes nonflu_yes type_Video has_url,LER
is_authentic_yes is_tone_yes posemo_yes see_yes affiliation_yes power_yes many_sixltr type_Photo,LER
is_analytic_yes is_clout_no posemo_yes insight_yes cause_yes certain_yes see_yes feel_yes power_yes netspeak_yes high_wps type_Photo has_url,HER
is_analytic_yes is_clout_no is_authentic_no is_tone_yes posemo_yes see_yes achieve_yes reward_yes netspeak_yes many_sixltr high_wps type_Video has_hashtag has_url,LER
is_analytic_no is_clout_no is_authentic_yes see_yes power_yes many_sixltr low_wps type_Photo,HER
is_analytic_yes is_authentic_no discrep_yes see_yes hear_yes netspeak_yes few_sixltr low_wps has_qmark type_Photo has_hashtag has_url,HER
is_clout_yes is_tone_yes posemo_yes insight_yes tentat_yes affiliation_yes netspeak_yes type_Photo has_hashtag has_url,HER
is_analytic_no is_authentic_yes is_tone_yes posemo_yes affiliation_yes power_yes many_sixltr low_wps type_Link,LER
is_authentic_yes insight_yes tentat_yes certain_yes affiliation_yes achieve_yes netspeak_yes few_sixltr low_wps has_exclam has_qmark type_Photo has_hashtag has_url,HER
is_analytic_no is_clout_no is_authentic_yes see_yes power_yes many_sixltr low_wps type_Photo,HER
is_analytic_no is_authentic_yes is_tone_yes posemo_yes affiliation_yes power_yes many_sixltr type_Link,LER
is_analytic_yes is_tone_yes posemo_yes affiliation_yes power_yes many_sixltr type_Photo,LER
is_authentic_no is_tone_yes posemo_yes discrep_yes achieve_yes power_yes reward_yes netspeak_yes low_wps has_exclam has_qmark type_Photo has_hashtag has_url,HER
is_analytic_yes is_clout_no is_authentic_no is_tone_yes posemo_yes differ_yes see_yes hear_yes netspeak_yes high_wps type_Photo has_url,HER
is_analytic_yes is_clout_no is_tone_yes posemo_yes insight_yes cause_yes tentat_yes differ_yes see_yes affiliation_yes power_yes reward_yes high_wps has_exclam type_Photo has_hashtag,HER
is_analytic_no is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes discrep_yes tentat_yes differ_yes affiliation_yes power_yes reward_yes netspeak_yes few_sixltr type_Video has_hashtag has_url,LER
is_clout_no posemo_yes cause_yes certain_yes see_yes affiliation_yes power_yes reward_yes netspeak_yes has_exclam type_Photo has_url,HER
is_analytic_no insight_yes cause_yes tentat_yes see_yes netspeak_yes many_sixltr has_exclam type_Video has_hashtag has_url,LER
is_analytic_yes is_authentic_yes insight_yes cause_yes tentat_yes see_yes feel_yes affiliation_yes netspeak_yes has_qmark type_Photo has_hashtag has_url,HER
posemo_yes insight_yes cause_yes tentat_yes affiliation_yes achieve_yes power_yes netspeak_yes type_Photo has_url,HER
is_clout_no see_yes power_yes netspeak_yes few_sixltr has_exclam has_qmark type_Photo has_url,HER
is_analytic_yes is_clout_no is_authentic_yes insight_yes cause_yes differ_yes see_yes feel_yes affiliation_yes few_sixltr type_Video,LER
is_analytic_no is_authentic_yes is_tone_yes posemo_yes insight_yes see_yes affiliation_yes power_yes many_sixltr type_Photo,LER
is_analytic_no is_clout_no cause_yes tentat_yes differ_yes affiliation_yes power_yes netspeak_yes few_sixltr has_qmark type_Video has_url,LER
is_analytic_no is_authentic_yes is_tone_yes posemo_yes affiliation_yes power_yes type_Link,LER
is_analytic_yes is_clout_no posemo_yes insight_yes cause_yes tentat_yes differ_yes see_yes affiliation_yes power_yes netspeak_yes high_wps type_Video has_url,LER
is_clout_yes is_authentic_no is_tone_yes posemo_yes certain_yes see_yes affiliation_yes netspeak_yes high_wps type_Video has_hashtag has_url,LER
is_analytic_no is_clout_yes cause_yes see_yes affiliation_yes achieve_yes netspeak_yes low_wps type_Video has_hashtag has_url,HER
is_analytic_no is_clout_yes is_authentic_no cause_yes differ_yes see_yes affiliation_yes netspeak_yes type_Video has_hashtag has_url,LER
posemo_yes negemo_yes insight_yes cause_yes tentat_yes differ_yes see_yes affiliation_yes power_yes swear_yes netspeak_yes nonflu_yes few_sixltr has_qmark type_Video has_url,LER
is_analytic_yes is_clout_yes is_authentic_no see_yes affiliation_yes high_wps type_Video,LER
is_clout_no is_authentic_yes cause_yes see_yes netspeak_yes has_qmark type_Photo has_hashtag has_url,LER
is_analytic_yes is_clout_no is_authentic_yes cause_yes netspeak_yes many_sixltr high_wps type_Photo has_hashtag has_url,LER
is_analytic_yes is_clout_no is_tone_yes posemo_yes cause_yes achieve_yes reward_yes netspeak_yes many_sixltr low_wps has_exclam type_Video has_hashtag has_url,HER
is_authentic_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes netspeak_yes many_sixltr low_wps has_qmark type_Video has_hashtag has_url,LER
is_analytic_no is_tone_yes posemo_yes see_yes affiliation_yes power_yes type_Video,LER
is_clout_yes insight_yes cause_yes see_yes affiliation_yes netspeak_yes type_Video has_hashtag has_url,LER
is_analytic_yes is_clout_yes is_authentic_no see_yes affiliation_yes many_sixltr high_wps type_Video,LER
is_clout_yes is_tone_no negemo_yes sad_yes insight_yes tentat_yes see_yes power_yes high_wps type_Video,LER
is_authentic_no is_tone_yes posemo_yes insight_yes cause_yes netspeak_yes low_wps has_qmark type_Photo has_url,LER
is_clout_no is_tone_yes posemo_yes cause_yes see_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_qmark type_Photo has_url,LER
is_clout_no is_authentic_yes is_tone_no negemo_yes insight_yes cause_yes discrep_yes tentat_yes differ_yes see_yes netspeak_yes high_wps has_exclam type_Photo has_url,HER
is_analytic_yes is_authentic_yes insight_yes cause_yes tentat_yes affiliation_yes netspeak_yes low_wps has_qmark type_Photo has_hashtag has_url,HER
is_analytic_yes is_authentic_yes cause_yes see_yes affiliation_yes netspeak_yes has_exclam type_Photo has_url,HER
is_analytic_no insight_yes discrep_yes netspeak_yes high_wps type_Photo has_hashtag has_url,HER
cause_yes see_yes power_yes reward_yes netspeak_yes few_sixltr has_qmark type_Photo has_url,HER
cause_yes differ_yes see_yes affiliation_yes achieve_yes power_yes netspeak_yes type_Video has_url,LER
is_analytic_yes cause_yes affiliation_yes netspeak_yes type_Photo has_url,HER
certain_yes affiliation_yes netspeak_yes has_exclam type_Photo has_hashtag has_url,HER
is_analytic_yes is_authentic_yes insight_yes cause_yes tentat_yes hear_yes affiliation_yes achieve_yes netspeak_yes low_wps has_qmark type_Photo has_hashtag has_url,HER
is_clout_yes insight_yes certain_yes affiliation_yes reward_yes netspeak_yes has_qmark type_Photo has_hashtag has_url,HER
is_clout_yes cause_yes affiliation_yes achieve_yes reward_yes netspeak_yes few_sixltr has_exclam type_Photo has_url,HER
is_analytic_yes is_clout_yes is_tone_yes posemo_yes cause_yes tentat_yes affiliation_yes achieve_yes reward_yes netspeak_yes high_wps type_Photo has_url,HER
is_analytic_yes is_authentic_yes see_yes affiliation_yes achieve_yes reward_yes netspeak_yes few_sixltr type_Photo has_url,HER
is_clout_no is_authentic_yes discrep_yes tentat_yes certain_yes differ_yes see_yes affiliation_yes achieve_yes reward_yes netspeak_yes few_sixltr has_exclam type_Video has_hashtag has_url,HER
is_authentic_no insight_yes discrep_yes certain_yes affiliation_yes netspeak_yes many_sixltr type_Photo has_url,HER
is_clout_yes insight_yes hear_yes affiliation_yes reward_yes netspeak_yes has_qmark type_Photo has_url,HER
is_analytic_no is_clout_no is_authentic_yes see_yes power_yes many_sixltr low_wps type_Photo,HER
is_clout_no posemo_yes insight_yes cause_yes tentat_yes certain_yes differ_yes see_yes feel_yes affiliation_yes achieve_yes reward_yes netspeak_yes type_Photo has_url,HER
is_analytic_no is_authentic_yes is_tone_yes posemo_yes insight_yes affiliation_yes power_yes many_sixltr type_Link,LER
is_analytic_no insight_yes cause_yes discrep_yes certain_yes differ_yes see_yes feel_yes reward_yes netspeak_yes few_sixltr has_qmark type_Photo has_url,HER
is_tone_no negemo_yes cause_yes tentat_yes certain_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr has_exclam type_Photo has_hashtag has_url,HER
is_analytic_yes cause_yes see_yes affiliation_yes netspeak_yes few_sixltr type_Photo has_url,HER
is_clout_yes insight_yes cause_yes tentat_yes see_yes affiliation_yes achieve_yes power_yes netspeak_yes has_qmark type_Photo has_hashtag has_url,HER
is_analytic_yes is_authentic_yes cause_yes see_yes affiliation_yes reward_yes netspeak_yes has_exclam type_Photo has_url,HER
is_analytic_yes cause_yes tentat_yes feel_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr high_wps type_Photo has_url,HER
is_clout_no posemo_yes negemo_yes sad_yes cause_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr type_Photo has_url,HER
is_analytic_no is_tone_yes posemo_yes see_yes affiliation_yes power_yes many_sixltr type_Video,LER
is_analytic_yes insight_yes discrep_yes affiliation_yes netspeak_yes has_qmark type_Photo has_url,HER
is_analytic_no is_authentic_no insight_yes certain_yes affiliation_yes netspeak_yes low_wps has_qmark type_Photo has_hashtag has_url,HER
