posts,label
is_authentic_yes is_tone_yes posemo_yes insight_yes achieve_yes power_yes reward_yes type_status fair work australia ruling means qantas workers going work planes sky win stranded passengers,HER
is_analytic_yes is_authentic_yes is_tone_no negemo_yes sad_yes insight_yes affiliation_yes achieve_yes power_yes many_sixltr type_link pm announced labor government prepared provide billion deliver historic pay rise 150 000 australia lowest paid workers social community services sector,HER
posemo_yes negemo_yes anger_yes insight_yes affiliation_yes power_yes netspeak_yes type_video has_url hours sworn president obama lands chicago percent obama government dismantled newt gingrich share friends important depth interview newt outlines gingrich administration answers attacks,HER
is_analytic_yes cause_yes type_link details pm changes ministry,HER
is_analytic_no is_clout_yes is_tone_yes posemo_yes discrep_yes affiliation_yes few_sixltr type_photo wish family merry christmas happy holiday season joyful new year,HER
is_analytic_yes is_clout_yes affiliation_yes low_wps has_exclam type_photo new obama family portrait,HER
is_authentic_yes posemo_yes negemo_yes anx_yes anger_yes discrep_yes tentat_yes differ_yes affiliation_yes power_yes reward_yes risk_yes netspeak_yes assent_yes high_wps type_link read op ed morning usa today president obama involved extending payroll tax relief year instead mere months avoid throwing job killing government obstacle path american small businesses like post agree,HER
is_authentic_yes is_tone_yes posemo_yes many_sixltr low_wps has_exclam type_video merry christmas,HER
is_authentic_yes posemo_yes negemo_yes anx_yes insight_yes cause_yes discrep_yes tentat_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes reward_yes high_wps type_status good news americans work month parties come address ongoing uncertainty small businesses face today marks 35th consecutive month unemployment percent americans continue struggle job house passed nearly 30 jobs bills remain stuck democratic controlled senate bills help create environment robust private sector job growth norm,HER
is_analytic_yes posemo_yes negemo_yes sad_yes insight_yes see_yes affiliation_yes achieve_yes power_yes high_wps type_status privilege gatton community today remember sadness look ahead resolve,HER
is_analytic_yes is_clout_no is_authentic_no is_tone_yes posemo_yes negemo_yes anger_yes sad_yes cause_yes differ_yes achieve_yes power_yes risk_yes many_sixltr type_status rejecting job creating keystone energy pipeline president obama destroying tens thousands american jobs shipping american energy security chinese house allow stand,HER
is_tone_no negemo_yes anger_yes power_yes risk_yes many_sixltr type_link sign petition build keystone pipeline tell president obama stop destroying jobs,HER
is_analytic_no is_clout_yes is_authentic_yes is_tone_yes posemo_yes cause_yes affiliation_yes achieve_yes low_wps has_exclam has_qmark type_status happy australia day celebrating today,HER
is_clout_yes is_authentic_yes posemo_yes insight_yes tentat_yes certain_yes differ_yes see_yes feel_yes affiliation_yes achieve_yes power_yes reward_yes few_sixltr high_wps type_link yesterday pm outlined plan economy 2012 explained clear choice choose ready future stand choose face hard decisions easy way today leave hard decisions children,HER
posemo_yes negemo_yes anx_yes tentat_yes differ_yes feel_yes affiliation_yes power_yes many_sixltr type_status tonight house voted freeze pay federal bureaucrats members congress legislation sponsored friend rep sean duffy save struggling taxpayers 26 billion impacting military personnel families,HER
is_analytic_no is_tone_no posemo_yes negemo_yes sad_yes cause_yes tentat_yes certain_yes differ_yes see_yes achieve_yes power_yes reward_yes risk_yes type_status years ago today president obama signed stimulus law nearly half million jobs lost unemployment remained percent gas prices nearly doubled clear president policies failed american people failed make economy better worse,HER
is_authentic_yes posemo_yes negemo_yes sad_yes insight_yes discrep_yes tentat_yes certain_yes differ_yes see_yes affiliation_yes achieve_yes power_yes high_wps type_link decided 10am monday morning ballot labor leadership conducted following kevin rudd resignation yesterday formed view need leadership ballot order settle question believe interests labor party determined importantly believe interests australian nation prime minister gillard adelaide today,HER
is_analytic_no is_clout_yes insight_yes tentat_yes differ_yes hear_yes affiliation_yes achieve_yes power_yes reward_yes many_sixltr type_photo occasion reflect achieved got achieved huge getting equal pay 150 000 people work social community services sector 120 000 women prime minister gillard speaking melbourne city mission morning,HER
is_analytic_no is_authentic_no is_tone_yes posemo_yes cause_yes power_yes type_video labor agenda australia future making stronger fairer,HER
is_tone_yes posemo_yes discrep_yes tentat_yes differ_yes affiliation_yes power_yes assent_yes many_sixltr type_link reports today indicate obamacare cost 30 percent originally forecast like post agree house republicans need repeal democrats government takeover health care,HER
is_authentic_yes posemo_yes negemo_yes sad_yes discrep_yes tentat_yes certain_yes differ_yes hear_yes achieve_yes power_yes reward_yes risk_yes netspeak_yes assent_yes type_status today sad day people house years ago today washington democrats failed listen america passed obamacare proud actions taken new majority adopt repealing obamacare entirety like post agree letup obamacare fully repealed,HER
is_clout_yes posemo_yes insight_yes tentat_yes affiliation_yes achieve_yes reward_yes low_wps type_status welcome maryland mitt romney information state try away women health services work expand,HER
is_tone_yes posemo_yes cause_yes certain_yes power_yes risk_yes netspeak_yes nonflu_yes many_sixltr type_photo has_url labor government support car industry today pm announced government secured holden future australia holden directly invest excess billion dollars 10 year vehicle development manufacturing program,HER
is_analytic_no is_clout_no is_tone_yes posemo_yes insight_yes discrep_yes tentat_yes certain_yes differ_yes see_yes achieve_yes reward_yes type_status clear believe gop nominee better obama,HER
posemo_yes certain_yes affiliation_yes achieve_yes power_yes reward_yes risk_yes many_sixltr high_wps type_status afternoon house republicans passed budget cuts government spending repeals democrats unconstitutional health care law protects seniors promotes plan address high gas prices pro jobs budget restores fiscal sanity democrat run washington help jump start economy providing tax regulatory certainty job creators,HER
is_analytic_yes posemo_yes negemo_yes sad_yes certain_yes see_yes affiliation_yes achieve_yes power_yes reward_yes high_wps has_exclam has_qmark type_status committed carrying banner bold conservative colors way tampa ensure republican party abandons timeless conservative principles ronald reagan contract america 3000 likes defeating obama,HER
see_yes affiliation_yes type_link pm parramatta evening community cabinet meeting watch live 45pm est,HER
is_analytic_yes is_clout_yes is_authentic_yes is_tone_yes posemo_yes cause_yes hear_yes affiliation_yes achieve_yes power_yes assent_yes high_wps type_status away begging bowl start helping grow economy create jobs say yes development,HER
is_clout_yes is_tone_yes posemo_yes affiliation_yes achieve_yes power_yes reward_yes type_photo nice visit nancy reagan today honored nancy friend thankful president reagan service great nation,HER
is_clout_yes is_tone_yes posemo_yes insight_yes hear_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr type_status live simply love generously care deeply speak kindly leave rest god reagan today honor remember life pres reagan february 1911 june 2004,HER
is_analytic_no is_clout_no is_authentic_yes differ_yes low_wps type_photo corporations people,HER
is_analytic_no is_clout_yes is_tone_yes posemo_yes low_wps has_qmark type_photo private sector doing fine,HER
is_analytic_yes is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes see_yes affiliation_yes power_yes few_sixltr has_exclam type_photo share photo wish army happy 237th birthday,HER
is_clout_yes is_authentic_no posemo_yes negemo_yes anger_yes insight_yes discrep_yes power_yes reward_yes risk_yes netspeak_yes type_photo has_url thing trumps executive privilege citizen privilege add list americans want answers fast furious gun running scandal tell president obama come clean hiding,HER
posemo_yes negemo_yes anger_yes sad_yes insight_yes cause_yes discrep_yes affiliation_yes power_yes reward_yes risk_yes few_sixltr high_wps type_status accept obamacare fees tax hikes jobs destroying mandates need fully repeal obamacare enact common sense step step reforms protect americans access care need doctor choose lower cost,HER
is_analytic_no is_clout_yes is_authentic_no posemo_yes negemo_yes discrep_yes certain_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr low_wps has_qmark type_photo has_url repeal obamacare win november help defeat nancy pelosi colleagues,HER
is_analytic_no is_clout_yes is_tone_yes posemo_yes discrep_yes tentat_yes differ_yes affiliation_yes reward_yes few_sixltr has_exclam type_photo gets 000 shares start selling,HER
is_analytic_no is_clout_yes is_authentic_no discrep_yes tentat_yes differ_yes hear_yes affiliation_yes few_sixltr low_wps has_exclam type_photo click like,HER
is_analytic_no is_clout_yes posemo_yes negemo_yes anger_yes certain_yes hear_yes affiliation_yes achieve_yes power_yes reward_yes risk_yes many_sixltr type_status breaking president signed student loan prevent student loan rates doubling tens thousands minnesota students signed transportation critical minnesota infrastructure projects forward thanks signed petition spoke good things happen work,HER
is_analytic_yes posemo_yes negemo_yes sad_yes insight_yes tentat_yes feel_yes affiliation_yes power_yes high_wps type_status today bipartisan majority house voted repeal obamacare law driving health care costs hurting job growth voting repeal health care law giving democratic run senate chance heed american people,HER
is_analytic_no is_clout_yes is_authentic_yes insight_yes certain_yes affiliation_yes has_qmark type_status appropriate development wellington bring people hobart grow tourism industry think,HER
is_clout_yes is_authentic_no posemo_yes negemo_yes insight_yes hear_yes achieve_yes power_yes reward_yes netspeak_yes low_wps has_exclam type_photo has_url pres obama seriously believes government responsible success click tell clue,HER
is_clout_yes is_tone_yes posemo_yes see_yes affiliation_yes achieve_yes reward_yes netspeak_yes high_wps type_photo has_url moment sign team boehner petition share image friends,HER
is_authentic_no posemo_yes discrep_yes tentat_yes differ_yes affiliation_yes assent_yes few_sixltr type_status week house vote audit federal reserve like post agree need transparent fed,HER
is_clout_yes is_authentic_no affiliation_yes power_yes few_sixltr low_wps type_photo trig big,HER
is_analytic_yes is_authentic_no type_photo hugh jackman shielding pm rain set wolverine today,HER
affiliation_yes netspeak_yes few_sixltr has_exclam type_photo has_url years advocating transparency ron paul audit fed passed house sign card congratulating ron paul,HER
is_analytic_no is_tone_yes posemo_yes discrep_yes tentat_yes differ_yes affiliation_yes achieve_yes power_yes assent_yes many_sixltr low_wps type_photo recently president obama bizarrely claimed democrats plan worked share agree obama working,HER
is_analytic_yes is_tone_yes posemo_yes reward_yes risk_yes many_sixltr type_photo stopped chick fil woodlands support great business,HER
is_authentic_no is_tone_yes posemo_yes discrep_yes reward_yes few_sixltr type_photo today milton friedman 100th birthday wish great man happy birthday liking quote,HER
is_analytic_yes is_clout_yes insight_yes cause_yes see_yes power_yes netspeak_yes high_wps type_photo has_url new emails reveal solyndra investors referred obama administration bank washington leaving taxpayers hook 535 million going bankrupt tell democrats tired president obama using money spending spree,HER
is_tone_yes posemo_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes type_photo has_url deeply honored excited join mitt romney america comeback team,HER
is_clout_yes is_tone_yes posemo_yes discrep_yes tentat_yes differ_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr has_exclam type_photo has_url sign card welcome paul ryan gop ticket share post ready gop victory november,HER
is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes tentat_yes differ_yes hear_yes affiliation_yes achieve_yes low_wps has_exclam type_photo congratulations team usa click like proud american,HER
is_analytic_no is_clout_yes posemo_yes insight_yes certain_yes affiliation_yes power_yes many_sixltr type_photo fact obamacare law cuts medicare current retirees let friends know sharing,HER
is_analytic_no is_tone_yes posemo_yes affiliation_yes power_yes many_sixltr type_photo paul ryan volunteered campaign student miami university congressional district yesterday returned party vice presidential nominee join welcoming congratulating,HER
is_clout_yes is_tone_yes posemo_yes insight_yes see_yes reward_yes netspeak_yes few_sixltr has_qmark type_photo has_url ready support choose badge add timeline,HER
is_analytic_yes is_tone_yes posemo_yes tentat_yes see_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr type_photo has_url chance win free trip gop convention paul ryan enter,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes certain_yes affiliation_yes reward_yes filler_yes low_wps has_exclam type_photo thank wayne brady trig truly blessing swear family extra chromosome got love chromosome thank gracious comment today,HER
is_clout_yes is_authentic_yes is_tone_no posemo_yes negemo_yes insight_yes cause_yes discrep_yes tentat_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes reward_yes risk_yes type_photo choice futures country stick president path nation decline going make ideas specific ideas using founding principles great place apply principles problems day country track,HER
is_analytic_no is_clout_yes posemo_yes tentat_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes type_video has_url million likes help countdown election day continues like share post family friends standing america comeback team 2012,HER
is_analytic_no is_authentic_yes insight_yes cause_yes differ_yes affiliation_yes power_yes type_photo ordinary election ordinary big choice make picking president picking pathway america generation,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes tentat_yes differ_yes low_wps type_photo started business build deserve credit,HER
is_analytic_yes is_tone_no negemo_yes discrep_yes tentat_yes differ_yes hear_yes power_yes low_wps has_exclam type_photo click like fired chris christie republican national convention nrcc org,HER
is_clout_yes is_tone_yes posemo_yes affiliation_yes achieve_yes power_yes reward_yes many_sixltr low_wps type_photo small businesses heart economy celebrate success,HER
is_clout_yes is_authentic_no is_tone_yes posemo_yes affiliation_yes netspeak_yes low_wps has_exclam type_photo thanks helping reach million likes special thanks sherri number 000 000 let momentum going,HER
is_analytic_no is_authentic_yes see_yes hear_yes affiliation_yes reward_yes many_sixltr low_wps type_photo looking forward speaking tonight mitt romney america track,HER
is_analytic_no is_clout_yes is_authentic_yes posemo_yes insight_yes discrep_yes differ_yes affiliation_yes achieve_yes power_yes reward_yes risk_yes type_photo opponents consider notice election issue usual posturing left going work mitt romney know difference protecting program raiding ladies gentlemen nation needs debate want debate win debate,HER
is_analytic_yes is_tone_yes posemo_yes hear_yes achieve_yes power_yes few_sixltr low_wps type_photo rep paul ryan hit park tonight strong substantive speech proud day house eric cantor kevin mccarthy,HER
is_analytic_no discrep_yes tentat_yes differ_yes affiliation_yes power_yes type_photo presidents need reminding rights come nature god government,HER
is_analytic_no is_tone_yes posemo_yes hear_yes few_sixltr low_wps has_qmark type_photo liked paul ryan speech night nrcc org,HER
is_clout_yes is_authentic_no discrep_yes see_yes affiliation_yes achieve_yes power_yes netspeak_yes filler_yes few_sixltr type_photo has_url america needs leader white house fix economy help people work,HER
is_clout_yes posemo_yes negemo_yes anx_yes anger_yes affiliation_yes power_yes risk_yes type_photo greatest threat medicare obamacare going stop,HER
is_analytic_no posemo_yes negemo_yes anger_yes hear_yes affiliation_yes achieve_yes power_yes reward_yes low_wps has_exclam type_photo powerful speech excited lies ahead let,HER
is_analytic_no posemo_yes negemo_yes anx_yes insight_yes cause_yes tentat_yes certain_yes differ_yes affiliation_yes power_yes risk_yes high_wps type_photo instead managing american decline leaving allies doubt adversaries test act conviction united states greatest force peace liberty world known,HER
is_analytic_no is_authentic_no insight_yes discrep_yes affiliation_yes power_yes risk_yes type_photo president answer simple reality need stop spending money,HER
is_analytic_no is_tone_yes posemo_yes cause_yes differ_yes achieve_yes power_yes reward_yes high_wps type_photo mitt romney fine businessman fine man worthy leading optimistic good hearted country,HER
is_authentic_no is_tone_no posemo_yes negemo_yes anger_yes affiliation_yes power_yes risk_yes swear_yes has_exclam type_photo today head california democratic party called paul ryan horse ass nazi propagandist ridiculous stand paul ryan tell democrats stop disgusting attacks nrcc org defend paul,HER
is_analytic_no is_authentic_yes posemo_yes differ_yes achieve_yes power_yes reward_yes netspeak_yes has_qmark type_photo has_url gas prices doubled incomes dropped poverty headed fifty year highs unemployment percent 42 straight months better years ago,HER
is_analytic_no posemo_yes insight_yes discrep_yes tentat_yes certain_yes differ_yes hear_yes assent_yes few_sixltr type_link newt says republicans focus numbers week unemployment gas prices national debt week entire obama facade cracks like post agree,HER
is_authentic_yes is_tone_yes posemo_yes cause_yes discrep_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr type_photo has_url change direction need president simple truth americans better years ago,HER
is_analytic_no is_authentic_yes is_tone_no negemo_yes cause_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes few_sixltr type_photo commitment mitt making going kicking road going lead fix mess washington,HER
is_analytic_yes reward_yes few_sixltr low_wps type_photo stand nrcc org,HER
is_analytic_no is_authentic_no insight_yes affiliation_yes netspeak_yes low_wps type_photo has_url ordinary election debate meaning america future,HER
is_analytic_no is_clout_yes is_tone_yes posemo_yes tentat_yes affiliation_yes power_yes reward_yes few_sixltr low_wps has_exclam type_photo million likes help,HER
is_analytic_no is_authentic_yes discrep_yes certain_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes type_photo has_url 43 straight months unemployment clear america needs new leadership economy moving,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes many_sixltr low_wps has_exclam type_photo million counting thank,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes tentat_yes differ_yes affiliation_yes power_yes assent_yes few_sixltr type_photo share agree vice president biden,HER
is_analytic_no is_authentic_no posemo_yes negemo_yes anger_yes affiliation_yes netspeak_yes low_wps type_photo has_url immigrants built pioneers built heroes dreamers built america fight,HER
posemo_yes negemo_yes cause_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes type_photo has_url barack obama policies lives americans difficult plan reverse implementing policies create 12 million new jobs safer prosperous future generation support,HER
is_tone_yes posemo_yes cause_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes risk_yes high_wps type_photo years ago barack obama campaigned promise protect middle class families policies life challenging,HER
is_analytic_yes is_authentic_yes is_tone_no negemo_yes sad_yes certain_yes affiliation_yes high_wps type_status somber day prayers americans especially suffered senseless acts years ago today,HER
is_tone_no posemo_yes negemo_yes anx_yes anger_yes sad_yes insight_yes cause_yes discrep_yes tentat_yes certain_yes differ_yes see_yes hear_yes feel_yes affiliation_yes achieve_yes power_yes risk_yes has_qmark type_status apparently president obama egypt libya house anniversary worst terrorist attacks perpetrated america embassy cairo consulate benghazi attacked violent islamic mobs cairo scaled walls embassy destroyed flag replaced black islamic banner benghazi armed gunmen set consulate killed american staff member islamic radicals claim attacks protest film criticizing islam response embassy cairo issued statement outrageous thought satire embassy apologized violent mob attacking went far chastise use free speech hurt religious feelings muslims funny current administration problem hurting religious feelings catholics president statement countries represent touted arab spring arab spring working received apology friends muslim brotherhood assault embassy president stood america condemned islamic extremists realize lot mind days economy abysmal jobless numbers moody new warning downgrade nation credit rating current administration failure come credible deficit reduction plan course busy schedule rounds golf softball interviews pimp limp fundraising dinners corporate cronies nation security utmost importance commander chief america afford leading dangerous world know president obama likes speak softly enemies big stick carry maybe grow sarah palin,HER
is_analytic_no is_tone_yes posemo_yes discrep_yes tentat_yes differ_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes assent_yes high_wps type_status like post agree gov mitt romney vision reforming government want able federal government job encouraging freedom free enterprise american people want government focused instead encouraging private economy individual freedoms reignite economy,HER
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes see_yes achieve_yes power_yes reward_yes few_sixltr low_wps has_exclam type_photo great win night green bay packers pack,HER
is_analytic_yes is_authentic_yes reward_yes risk_yes few_sixltr low_wps type_photo stop obama stand nrcc org,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes cause_yes discrep_yes affiliation_yes achieve_yes power_yes reward_yes low_wps type_photo need sugar high economics need synthetic money creation need economic growth want wealth creation want print money want opportunity growth,HER
is_analytic_no is_authentic_no posemo_yes negemo_yes discrep_yes tentat_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes type_photo american limited government free enterprise help poor economic designed want replace want renew revitalize,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes see_yes affiliation_yes few_sixltr low_wps type_photo mia love america watch story nrcc org love,HER
is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes certain_yes affiliation_yes achieve_yes power_yes reward_yes risk_yes type_photo president obama small businesses lack confidence need expand employ new workers reforming tax code repealing obamacare businesses certainty need start hiring,HER
is_analytic_yes is_tone_no negemo_yes sad_yes cause_yes achieve_yes power_yes risk_yes netspeak_yes few_sixltr high_wps type_photo has_url obama failed stimulus borrowed money places like china spent 833 billion sent jobs china,HER
