HER (-7.2972072130436754, 'type_photo')
HER (-1.4732640148049507, 'women')
HER (-1.4632781936035166, 'panda')
HER (-1.4608069550952609, 'plastic')
HER (-1.4524925156025179, 'reproductive')
HER (-1.4404634160948562, 'state')
HER (-1.4354687247962665, 'control')
HER (-1.4352231940935889, 'epa')
HER (-1.4333671670802508, 'doors')
HER (-1.4296693772738873, 'gas')
HER (-1.427296152417493, 'refugee')
HER (-1.4267736552011074, 'cars')
HER (-1.4195200605762164, 'notorious')
HER (-1.4191905382686671, 'mp')
HER (-1.4158607186544792, 'wrong')
HER (-1.4098118540659352, 'power_yes')
HER (-1.4066559505243872, 'certain_yes')
HER (-1.401553062708975, 'dogs')
HER (-1.4008002564213331, 'oil')
HER (-1.3833673215003743, 'actor')
HER (-1.3710083876605967, '2012')
HER (-1.355268257562295, 'feminist')
HER (-1.3549084789898951, 'says')
HER (-1.3527718007530773, 'legal')
HER (-1.3426539130506698, 'face')
HER (-1.3416671999318865, 'twice')
HER (-1.340024429849674, 'camera')
HER (-1.3396249456080942, 'refugees')
HER (-1.3389600060458506, 'ivory')
HER (-1.3336189683392139, 'rare')
HER (-1.3327761016445419, 'said')
HER (-1.3286429069251924, 'supreme')
HER (-1.3264554597282472, 'togetherness')
HER (-1.3256482933188232, 'american')
HER (-1.3201627498133905, 'warrior')
HER (-1.3157164834745296, 'bees')
HER (-1.3111726295030406, 'refugeeswelcome')
HER (-1.3042052257460066, 'sad_yes')
HER (-1.3037422170621884, 'nrdc')
HER (-1.2911179757187905, 'standwithpp')
LER (7.47884757292882, 'type_status')
LER (4.7975077028840865, 'brief')
LER (4.763323022276416, '2011')
LER (4.145650253865238, 'red')
LER (3.9993714655788044, 'lra')
LER (3.8734150683513651, 'rmhc')
LER (3.5540493307833767, 'aids')
LER (2.913974392394056, 'livestrong')
LER (2.8104623465385181, 'zerolra')
LER (2.6613025267285435, 'reserved')
LER (2.5321507963935064, 'has_qmark')
LER (2.4628600858133951, 'dosomething')
LER (2.4576556511075061, 'tickets')
LER (2.4176223474008784, 'joseph')
LER (2.3087645467491567, 'hiv')
LER (2.3023530177534113, 'vote')
LER (2.2794150549574379, 'kony')
LER (2.2146514453585842, 'hsus')
LER (2.146218912842865, 'blog')
LER (2.1381118671078876, 'com')
LER (2.1147678593560086, 'invisible')
LER (2.0684608403090023, 'scholarship')
LER (2.040978445159229, 'flyer')
LER (1.9706209853418966, 'check')
LER (1.8909817636943635, 'mcdonald')
LER (1.8864309156601191, 'type_link')
LER (1.8850176552930054, 'haiti')
LER (1.8620984689756956, '86aids')
LER (1.8585533206750506, 'wfp')
LER (1.8466082738879046, 'uganda')
LER (1.79177438963, 'residents')
LER (1.7900240796807294, 'type_event')
LER (1.7701517212629481, 'programs')
LER (1.7649348205016533, 'sxsw')
LER (1.7487314384484025, 'la')
LER (1.7479072068366821, 'campaigns')
LER (1.7143241884603655, 'quiz')
LER (1.7105906901379515, 'friends')
LER (1.6960878505678292, 'charity')
LER (1.6800811961926221, 'event')
LER (1.6543280409215841, 'hrc')
LER (1.6387432548181244, 'twitter')
LER (1.6321940501549448, 'stories')
LER (1.6292880493081103, 'film')
LER (1.6252632845196349, 'daily')
LER (1.6121546091117713, 'rural')
LER (1.5983277915914371, 'samples')
LER (1.5917990914735267, 'mend')
LER (1.580701191790419, 'conference')
LER (1.5739438688198228, 'efforts')
LER (1.5561159495770711, 'design')
LER (1.5464868517275008, 'creative')
LER (1.5367555219850744, 'type_note')
LER (1.5332736469298625, 'central')
LER (1.533246979707007, 'flu')
LER (1.5310033995546946, '300')
LER (1.5262371195306947, 'movie')
LER (1.5224894954440602, 'fun')
LER (1.5115003123074136, 'escape')
LER (1.5056418449876061, 'humane')
LER (1.4967178715111762, 'worldcup')
LER (1.4951454639077517, 'register')
LER (1.4878010446037944, 'rsvp')
LER (1.4866450371015694, 'link')
LER (1.4755049458094573, 'feature')
LER (1.4694943562797567, 'buy')
LER (1.4616788593851904, 'somalia')
LER (1.4589494304753468, 'online')
LER (1.4580214811957564, 'socialgood')
LER (1.4559133806391193, 'feel')
LER (1.455826035669844, 'asking')
LER (1.4542140378080126, 'eric')
LER (1.4367948058697082, 'area')
LER (1.4362694864367473, 'guidan')
LER (1.4362694864367473, 'gado')
LER (1.4355606582967169, 'library')
LER (1.4322814910464792, 'lgbt')
LER (1.418728254379952, 'yoursearchcounts')
LER (1.4181830047429191, 'guys')
LER (1.418159618043904, 'wendy')
LER (1.4090412588010082, 'survivor')
LER (1.4086833878852312, 'ranks')
LER (1.4086833878852312, 'getready')
LER (1.4051094687495482, '2010')
LER (1.3965167387277919, 'republic')
LER (1.390843929755321, 'dc')
LER (1.3882469569306051, 'tsunami')
LER (1.3732193774662658, 'use')
LER (1.3727848849739421, 'ronald')
LER (1.3715810757964342, 'march')
LER (1.3702392495429363, 'info')
LER (1.3697967023528586, 'tour')
LER (1.3696887918100111, 'jeans')
LER (1.3660250118955195, 'india')
LER (1.3594437351701691, 'joins')
LER (1.3590283378607668, 'youtube')
LER (1.3562732522970107, 'italy')
LER (1.3531101515541446, '2009')
LER (1.350752949162656, 'items')
LER (1.3483441186364342, '18')
