HER (-4.7866896010412692, 'share')
HER (-1.3119071016922064, 'hearts')
HER (-1.3112496919064736, 'thanks')
HER (-1.3013310117623376, 'like')
HER (-1.275597445843806, 'thank')
HER (-1.2711436156803773, 'awesome')
HER (-1.2596379600891074, 'motivationmonday')
HER (-1.2418481582774923, 'sharing')
HER (-1.2369833203489777, 'clean')
HER (-1.2350630593501049, 'charities')
HER (-1.2341940937006914, 'little')
HER (-1.2338295857595019, 'legal')
HER (-1.2299319196227483, 'house charities')
HER (-1.2299319196227483, 'mcdonald house charities')
HER (-1.229573690112959, 'face')
HER (-1.2216355983505507, 'reproductive')
HER (-1.2215399489510543, 'tiny')
HER (-1.211644797435359, 'protect')
HER (-1.2102808589690828, 'needs')
HER (-1.210146102651465, 'learn')
HER (-1.1947904206814215, 'honor')
HER (-1.1940524418028133, 'dogs')
HER (-1.1920693806928013, 'girls')
HER (-1.1871612750659399, 'reminder')
LER (5.902396039034068, 'red')
LER (4.2890863727380717, 'brief')
LER (4.2766948253293906, 'lra')
LER (4.2069425540353125, 'rmhc')
LER (3.6405217541715005, 'aids')
LER (3.3064668779601365, 'check')
LER (2.9062339889692548, 'smithsonian')
LER (2.6956614780177799, 'tickets')
LER (2.6811745733556993, 'blog')
LER (2.6809051531466079, 'zerolra')
LER (2.6522603190926306, 'invisible children')
LER (2.5195785020313899, 'hiv')
LER (2.4809565444743078, '2011')
LER (2.4028912211445421, 'daily')
LER (2.3912768276282654, 'hsus')
LER (2.3789869674022568, 'livestrong')
LER (2.3201568069026175, 'kony')
LER (2.2668364941289609, 'event')
LER (2.2138006321912478, 'vote')
LER (2.1753721357268692, 'programs')
LER (2.0834489336669098, 'join')
LER (2.0816156812323041, 'haiti')
LER (2.0337254641206517, 'daily brief')
LER (2.0096210343498164, 'friends')
LER (1.9952103375958243, 'com')
LER (1.9520141756340745, 'uganda')
LER (1.8608040439445594, 'win')
LER (1.7950406425868146, 'africa')
LER (1.7531042397838854, 'hrc')
LER (1.7530248849991303, 'mcdonald')
LER (1.7301703923423146, 'film')
LER (1.7207966601379434, 'music')
LER (1.707553003889047, 'scholarship')
LER (1.7038635078546251, 'invisible')
LER (1.6269479837029341, 'chance')
LER (1.6035684279101936, 'video')
LER (1.5978913603212672, 'residents')
LER (1.5904991533450374, 'details')
LER (1.583934436062014, 'tour')
LER (1.5819382240829896, 'dosomething')
LER (1.5763918602698261, 'online')
LER (1.5728751191735997, 'dosomething org')
LER (1.5663198808753747, 'fight aids')
LER (1.553469966917808, 'tomorrow')
LER (1.5296836670103917, 'director')
LER (1.5162072434337246, 'text')
LER (1.5097364398058923, 'page')
LER (1.5067537800014448, 'cancer')
LER (1.4920247769801329, 'central')
LER (1.4886534178245423, 'wayne')
LER (1.4854876754135682, 'ideas')
LER (1.4849413932486693, 'hey')
LER (1.4778325893367104, 'twitter')
LER (1.4763515629658404, 'fans')
LER (1.4649425570277768, 'org campaigns')
LER (1.4649425570277768, 'dosomething org campaigns')
LER (1.4625979838881529, 'joseph')
LER (1.458106587384733, 'sign')
LER (1.4542586609191634, 'link')
LER (1.4477842941536196, '2011 st jude')
LER (1.4477842941536196, '2011 st')
LER (1.4472339922460797, 'looking')
LER (1.4266957119098713, 'rsvp')
LER (1.4028568249407314, 'flu')
LER (1.3932370619868504, 'kenya')
LER (1.3874980790568741, 'society')
LER (1.3786019501510318, 'stories')
LER (1.3645615308685097, 'joseph kony')
LER (1.3608526482374872, 'help win')
LER (1.3444889737731687, 'register')
LER (1.3434423798969137, 'dc')
LER (1.3391975937436225, 'asking')
LER (1.3348342297694296, 'hour')
LER (1.3306258056925719, 'campaign')
LER (1.3253299165212906, 'free')
LER (1.324166739102524, 'mercy')
LER (1.3039710729578193, 'conference')
LER (1.2955167594616201, '2010')
LER (1.2943948919215558, 'rt')
LER (1.2833528531527685, 'mercy corps')
LER (1.2813278260658767, 'save')
LER (1.2776457364303149, 'ronald')
LER (1.2766937629480091, 'campaigns')
LER (1.2743233211592249, 'tips')
LER (1.2677335710190341, 'ways')
LER (1.265228645736497, 'creative')
LER (1.2623932423884605, 'tune')
LER (1.2535179487609214, 'efforts')
LER (1.2510833232420204, 'la')
LER (1.2495270066971871, 'msf')
LER (1.2486862266814069, 'mend')
LER (1.2383602691404079, 'charity water')
LER (1.2238111148150572, 'sxsw')
LER (1.2213775768203072, 'young people')
LER (1.2070464413005202, 'quit')
LER (1.1958304367742707, 'valentine')
LER (1.194852320095662, 'ronald mcdonald')
LER (1.1919532961745032, 'update')
LER (1.1915165624249813, 'seal')
LER (1.1902327758110895, 'foundation')
