HER (-6.7068739967120869, 'wwf')
LER (1.6676872026066059, 'charity water')
LER (1.6646705178275505, 'rights watch')
LER (1.6380905285922602, 'hiv')
LER (1.6282116352050735, 'com')
LER (1.6057215344426081, 'kind')
LER (1.5810561707604089, 'dosomething org')
LER (1.5782206996529271, 'dosomething')
LER (1.5776577818939643, 'mission')
LER (1.5700162378270095, 'invisible')
LER (1.5695653971109167, 'has_qmark type_status')
LER (1.5022434701907936, 'direct')
LER (1.4928145963002459, 'register')
LER (1.4902524599746834, 'type_video has_url')
LER (1.4802458333535777, 'sharethemeal')
LER (1.4754754265650394, 'type_link has_url')
LER (1.4707704116526077, 'film')
LER (1.4691290012611218, 'organization')
LER (1.4666816309855621, 'survivor')
LER (1.4632704606362243, 'humane')
LER (1.4571847525314718, 'items')
LER (1.455384762506359, 'area')
LER (1.4447114434377593, 'direct relief')
LER (1.4416056314144079, 'daily')
LER (1.4231157968268973, 'creating')
LER (1.4110098624771614, 'hsus')
LER (1.3963182368319587, '86aids')
LER (1.3941778111454801, 'mcdonald')
LER (1.3929541318000791, 'store')
LER (1.3844032410509857, 'fourthestatelive')
LER (1.3743937886955291, 'joseph')
LER (1.3721206869301701, 'type_link brief')
LER (1.358960020903295, 'daily brief')
LER (1.3307242068100953, 'tour')
LER (1.3163860747945879, 'lgbt')
LER (1.3155167645099841, 'gary')
LER (1.3111109948501569, 'ronald')
LER (1.3104115006297068, 'is_authentic_no certain_yes')
LER (1.3063850716987588, 'type_link')
LER (1.2988549382381698, 'creative')
LER (1.2988281810063216, 'foundation')
LER (1.2943307693099781, 'global fund')
LER (1.2839440376450904, 'fourthestatesummit')
LER (1.2834198080202233, 'type_link world')
LER (1.2808061885460242, 'lance')
LER (1.2801587409643185, 'bank')
LER (1.2721155537625239, 'supporter')
LER (1.269179542067544, 'has_hashtag thank')
LER (1.2686960948712203, 'db')
LER (1.2661084400134703, 'counts')
LER (1.2565573311148763, 'is_authentic_no netspeak_yes')
LER (1.2564502808747291, 'climate march')
LER (1.2545856149992249, 'nyc')
LER (1.2292919927503558, 'aaron')
LER (1.228629087845875, 'trevor')
LER (1.2270935898114927, 'la')
LER (1.2234365679334835, 'music')
LER (1.2232232461851003, 'chris')
LER (1.2211825787895081, 'austin')
LER (1.2136812520448133, 'justice')
LER (1.212504001494541, 'fundraising')
LER (1.2117791331373289, 'fight aids')
LER (1.2019121049585306, 'bono')
LER (1.1971335328189461, 'peta')
LER (1.1961470723258345, 'shelters')
LER (1.1944126436470683, 'comment')
LER (1.1936165136219283, 'food bank')
LER (1.192908561595857, 'weekend')
LER (1.1923915024472975, 'friend')
LER (1.1892762413714355, 'preparedness')
LER (1.1783411272120852, 'jumpfirstfearlater')
LER (1.1695646893105307, 'mend')
LER (1.1686408979308156, 'christ')
LER (1.1647112498444114, 'event')
LER (1.1553307925723646, 'self')
LER (1.1446625367896137, 'mother counts')
LER (1.1380280725678964, 'org campaigns')
LER (1.1374705609565334, 'flyer')
LER (1.137432865210714, 'pets')
LER (1.1342000170994948, 'givingtuesday')
LER (1.1321167972298003, 'fun')
