HER (-2.330723186542107, 'posemo_yes')
LER (0.68935457442545156, 'is_authentic_no')
LER (0.68771455792792657, 'discrep_yes tentat_yes')
LER (0.68436033257746653, 'tentat_yes hear_yes')
LER (0.63070214151561488, 'insight_yes tentat_yes')
LER (0.62298237168886228, 'negemo_yes affiliation_yes')
LER (0.61063996833507783, 'is_analytic_no see_yes')
LER (0.60810141324133904, 'achieve_yes')
LER (0.60581994294714547, 'assent_yes')
LER (0.5947674798742697, 'is_tone_no')
LER (0.59457904808626738, 'posemo_yes netspeak_yes')
LER (0.56719474822514304, 'see_yes netspeak_yes')
LER (0.56184343876818155, 'is_authentic_yes feel_yes')
LER (0.56068701523247388, 'power_yes')
LER (0.55213563926827203, 'is_analytic_no is_tone_yes')
LER (0.54451491122685969, 'is_analytic_no is_clout_yes')
LER (0.52285514208612538, 'differ_yes feel_yes')
LER (0.50535347568982047, 'cause_yes netspeak_yes')
LER (0.50456897346251683, 'is_clout_yes')
LER (0.5019995429692935, 'is_analytic_yes power_yes')
LER (0.49615167526762388, 'reward_yes netspeak_yes')
LER (0.49181508062222851, 'netspeak_yes nonflu_yes')
LER (0.453744272573608, 'insight_yes affiliation_yes')
LER (0.45179824256604395, 'negemo_yes tentat_yes')
LER (0.42256659341971076, 'insight_yes achieve_yes')
LER (0.41693640011529742, 'affiliation_yes assent_yes')
LER (0.40807987374983262, 'insight_yes')
LER (0.39936627632938743, 'certain_yes reward_yes')
LER (0.39291100685343966, 'is_analytic_yes feel_yes')
LER (0.36182421358943456, 'affiliation_yes power_yes')
LER (0.36175517416632796, 'negemo_yes cause_yes')
LER (0.35965078597095279, 'cause_yes hear_yes')
LER (0.31871300182821655, 'is_analytic_no power_yes')
LER (0.30870450385080023, 'netspeak_yes filler_yes')
LER (0.3057868320536033, 'filler_yes')
LER (0.30487851152703987, 'is_analytic_yes discrep_yes')
LER (0.30454386054106775, 'is_clout_yes is_tone_yes')
LER (0.29277417841197423, 'discrep_yes affiliation_yes')
LER (0.27976759072890461, 'is_clout_yes discrep_yes')
LER (0.26597867680827431, 'is_analytic_no posemo_yes')
LER (0.26017802833849624, 'tentat_yes')
LER (0.24339290637414934, 'is_authentic_yes insight_yes')
LER (0.24275438904878294, 'is_tone_yes posemo_yes')
LER (0.24275438904878294, 'is_tone_yes')
LER (0.24052074369438947, 'assent_yes nonflu_yes')
LER (0.23971764162861012, 'is_clout_yes reward_yes')
LER (0.23858570705914339, 'cause_yes certain_yes')
LER (0.22953070009089024, 'is_authentic_no is_tone_no')
LER (0.22557890134077144, 'tentat_yes differ_yes')
LER (0.21957544702922474, 'is_authentic_yes discrep_yes')
LER (0.21754730516388229, 'is_clout_yes posemo_yes')
LER (0.20795779033745046, 'posemo_yes hear_yes')
LER (0.19029614678619369, 'is_authentic_no see_yes')
LER (0.1879665044223312, 'tentat_yes achieve_yes')
LER (0.18203054300961741, 'negemo_yes certain_yes')
LER (0.17241268983769953, 'discrep_yes power_yes')
LER (0.17204021123991572, 'achieve_yes power_yes')
LER (0.16115349202157137, 'sad_yes see_yes')
LER (0.14597934224958165, 'is_analytic_no achieve_yes')
LER (0.1389237522425314, 'negemo_yes discrep_yes')
LER (0.11817687429305609, 'insight_yes hear_yes')
LER (0.10421771636160068, 'negemo_yes differ_yes')
LER (0.10229751573237159, 'hear_yes feel_yes')
LER (0.08699806245486684, 'is_analytic_no')
LER (0.083046912717590182, 'tentat_yes netspeak_yes')
LER (0.07687400682682255, 'is_authentic_no cause_yes')
LER (0.076362073642094033, 'anx_yes cause_yes')
LER (0.006007753187008389, 'cause_yes differ_yes')
